id,detected_lang,score
31699,fr,0.9915
29039,fr,0.9921
30780,fr,0.9938
30752,fr,0.9902
25670,fr,0.9913
30292,fr,0.9942
23367,fr,0.9926
32124,fr,0.992
27913,fr,0.9931
23324,fr,0.9941
30817,fr,0.9935
25474,fr,0.9929
22564,fr,0.992
20878,fr,0.993
26745,fr,0.9937
23808,fr,0.9921
21355,fr,0.9932
24081,fr,0.9924
23163,fr,0.9937
26693,fr,0.9931
26870,fr,0.9936
21055,fr,0.9933
29399,fr,0.9906
25640,fr,0.9933
24283,fr,0.9931
31485,fr,0.9925
26152,fr,0.993
32653,fr,0.9915
22768,fr,0.9928
21805,fr,0.993
31583,fr,0.9929
20886,fr,0.9937
21051,fr,0.9942
26269,fr,0.9932
22585,fr,0.9922
28545,fr,0.993
31468,fr,0.994
26148,fr,0.9925
27329,fr,0.9929
27049,fr,0.9933
32316,fr,0.9928
29962,fr,0.9943
26470,fr,0.9939
22756,fr,0.9912
22157,fr,0.9925
26551,fr,0.9935
25603,fr,0.9925
31685,fr,0.9943
25559,fr,0.9938
24373,fr,0.9933
22463,fr,0.9935
29817,fr,0.9915
32452,fr,0.9921
24694,fr,0.9937
25873,fr,0.9934
23589,fr,0.993
22147,fr,0.9908
23398,fr,0.9929
26765,fr,0.9937
30215,fr,0.9935
27147,fr,0.9933
30662,fr,0.9932
23376,fr,0.9925
29070,fr,0.9925
28015,fr,0.9935
25017,fr,0.9924
25201,fr,0.9942
25147,fr,0.9917
29549,fr,0.9924
31683,fr,0.9936
31716,fr,0.9917
28982,fr,0.9916
32638,fr,0.9921
26664,fr,0.9905
30188,fr,0.9914
23036,fr,0.9932
26401,fr,0.9935
29567,fr,0.9923
21736,fr,0.9919
27446,fr,0.9937
32420,fr,0.9922
28232,fr,0.9927
29032,fr,0.9933
23405,fr,0.9927
30107,fr,0.9941
24490,fr,0.9922
23779,fr,0.993
23315,fr,0.9933
24085,fr,0.9929
23987,fr,0.9927
26491,fr,0.9936
22468,fr,0.9924
24592,fr,0.9938
26419,fr,0.9927
31709,fr,0.9921
31731,fr,0.9932
24073,fr,0.993
28237,fr,0.9941
23052,fr,0.9937
22780,fr,0.9939
32751,fr,0.9933
32391,fr,0.9916
31230,fr,0.9909
25878,fr,0.9937
32322,fr,0.9916
31405,fr,0.9924
30335,fr,0.992
23517,fr,0.9936
24110,fr,0.9936
31505,fr,0.9933
28772,fr,0.9929
30303,fr,0.9922
26487,fr,0.9937
23966,fr,0.9914
21617,fr,0.9926
24080,fr,0.9923
26119,fr,0.9937
32008,fr,0.993
25067,fr,0.9926
29584,fr,0.9927
25130,fr,0.992
27388,fr,0.9929
26639,fr,0.9921
24504,fr,0.993
30032,fr,0.9935
25271,fr,0.9937
25199,fr,0.9926
24497,fr,0.9934
28212,fr,0.9933
32630,fr,0.9945
23573,fr,0.9927
21628,fr,0.9923
25043,fr,0.9918
21034,fr,0.9908
20887,fr,0.9933
32559,fr,0.9936
28069,fr,0.994
30396,fr,0.9931
32370,fr,0.9926
23943,fr,0.9919
20890,fr,0.9929
30290,fr,0.9924
32098,fr,0.9937
22925,fr,0.9928
20867,fr,0.9857
28152,fr,0.993
26940,fr,0.9936
28289,fr,0.9929
28863,fr,0.9911
23310,fr,0.9938
25311,fr,0.9916
30956,fr,0.9933
28272,fr,0.9923
21479,fr,0.9923
26961,fr,0.9933
26025,fr,0.992
20929,fr,0.9911
21412,fr,0.9932
30434,fr,0.9932
21263,fr,0.9923
30753,fr,0.9937
26465,fr,0.9933
26388,fr,0.9922
31883,fr,0.9946
25845,fr,0.9933
28626,fr,0.9928
24988,fr,0.9919
24425,fr,0.9939
32362,fr,0.9894
22673,fr,0.9927
28663,fr,0.9932
31619,fr,0.9929
21308,fr,0.9919
32035,fr,0.9942
26454,fr,0.9926
21229,fr,0.9917
27620,fr,0.9924
28589,fr,0.9918
21145,fr,0.9914
27923,fr,0.9918
21653,fr,0.9931
29260,fr,0.9924
28681,fr,0.992
31517,fr,0.9927
30810,fr,0.9926
27927,fr,0.992
30435,fr,0.9925
30115,fr,0.994
22582,fr,0.9906
24105,fr,0.9928
30905,fr,0.9934
28369,fr,0.993
28158,fr,0.9929
21903,fr,0.9739
32196,fr,0.9917
31293,fr,0.9937
21918,fr,0.9902
30125,fr,0.9938
22113,fr,0.9914
24732,fr,0.9931
25626,fr,0.9944
21830,fr,0.9935
26280,fr,0.9918
25135,fr,0.9938
30221,fr,0.9919
31719,fr,0.9916
22149,fr,0.9931
21821,fr,0.9933
21122,fr,0.9931
29755,fr,0.9919
24548,fr,0.9937
31425,fr,0.993
21935,fr,0.992
26356,fr,0.9926
22850,fr,0.9916
26845,fr,0.9935
29952,fr,0.993
21397,fr,0.9928
29006,fr,0.9936
25341,fr,0.9936
20930,fr,0.9681
29250,fr,0.9933
27669,fr,0.9929
23351,fr,0.9924
32776,fr,0.9925
22062,fr,0.9923
28656,fr,0.9917
21392,fr,0.9923
29721,fr,0.9931
30738,fr,0.9939
21108,fr,0.9919
30087,fr,0.9936
30027,fr,0.9933
29173,fr,0.9904
26319,fr,0.9943
31908,fr,0.9932
32194,fr,0.9931
22686,fr,0.9933
29111,fr,0.9925
21930,fr,0.9927
31565,fr,0.9929
25510,fr,0.9934
30198,fr,0.9927
30743,fr,0.9934
25517,fr,0.993
24690,fr,0.9929
29955,fr,0.9935
29089,fr,0.993
29254,fr,0.9931
31764,fr,0.9932
28479,fr,0.9922
31781,fr,0.9922
31355,fr,0.9923
31915,fr,0.992
30987,fr,0.9935
29035,fr,0.9925
29409,fr,0.9936
20944,fr,0.9935
28916,fr,0.9916
28695,fr,0.9916
26181,fr,0.9925
29204,fr,0.9935
23910,fr,0.9924
25683,fr,0.9916
32482,fr,0.9935
22760,fr,0.9933
26443,fr,0.9918
30442,fr,0.9922
31370,fr,0.9931
28555,fr,0.9936
24403,fr,0.9919
31412,fr,0.9908
30965,fr,0.9932
30265,fr,0.9936
32551,fr,0.9916
24477,fr,0.9926
31477,fr,0.9915
21494,fr,0.9931
25865,fr,0.9916
32351,fr,0.9884
22123,fr,0.9929
23560,fr,0.9926
24040,fr,0.9919
31635,fr,0.9929
26583,fr,0.9946
22577,fr,0.9925
21378,fr,0.992
22397,fr,0.9923
21011,fr,0.9907
26525,fr,0.9935
21911,fr,0.9934
20908,fr,0.9929
24158,fr,0.9929
26663,fr,0.9931
30472,fr,0.9926
23359,fr,0.9939
28533,fr,0.9932
31387,fr,0.9934
24704,fr,0.978
28938,fr,0.9921
31148,fr,0.993
28064,fr,0.9937
21759,fr,0.9914
26564,fr,0.9942
26676,fr,0.9931
26308,fr,0.9933
31773,fr,0.9935
28769,fr,0.993
28443,fr,0.9926
32669,fr,0.9912
25583,fr,0.9922
21193,fr,0.9927
30802,fr,0.9923
25744,fr,0.9907
28364,fr,0.9934
31784,fr,0.9939
24219,fr,0.9917
29550,fr,0.9926
28827,fr,0.9921
21500,fr,0.9922
23613,fr,0.9918
26717,fr,0.993
25038,fr,0.9927
27943,fr,0.9917
28568,fr,0.993
26158,fr,0.9924
29556,fr,0.9924
21088,fr,0.9924
23994,fr,0.9924
23540,fr,0.9935
22335,fr,0.9931
29306,fr,0.9931
21451,fr,0.9932
21824,fr,0.9939
25051,fr,0.9933
22825,fr,0.9915
22407,fr,0.9934
27880,fr,0.9926
21439,fr,0.991
32353,fr,0.992
28463,fr,0.9935
23139,fr,0.993
29804,fr,0.9937
27544,fr,0.9928
27171,fr,0.991
24595,fr,0.9935
31947,fr,0.9927
31181,fr,0.9938
28337,fr,0.9927
21856,fr,0.9934
31732,fr,0.9943
31506,fr,0.9919
27321,fr,0.9927
23847,fr,0.9923
22629,fr,0.9918
25698,fr,0.9906
23073,fr,0.9934
23443,fr,0.9919
26871,fr,0.9934
23354,fr,0.9931
29756,fr,0.994
23822,fr,0.9936
23225,fr,0.9948
29222,fr,0.9925
25877,fr,0.9927
31331,fr,0.9922
23714,fr,0.9922
31914,fr,0.9924
29180,fr,0.9931
22602,fr,0.9915
23455,fr,0.9928
28941,fr,0.992
28137,fr,0.9936
28405,fr,0.9938
30340,fr,0.9923
30898,fr,0.9931
31552,fr,0.9897
27214,fr,0.9933
31026,fr,0.994
32174,fr,0.9935
23074,fr,0.9935
32859,en,0.9721
31903,fr,0.993
22296,fr,0.9928
29124,fr,0.9925
31055,fr,0.993
20858,fr,0.9924
32025,fr,0.9937
29716,fr,0.9938
24899,fr,0.9934
29863,fr,0.9906
27425,fr,0.9935
31990,fr,0.9927
25388,fr,0.993
26956,fr,0.9918
32158,fr,0.9937
21961,fr,0.9912
22295,fr,0.9928
31534,fr,0.9925
29382,fr,0.9921
21607,fr,0.9926
24023,fr,0.9909
31509,fr,0.9933
26202,fr,0.994
28881,fr,0.9934
29098,fr,0.993
25079,fr,0.9939
29354,fr,0.9933
21807,fr,0.9933
22855,fr,0.991
21866,fr,0.9939
24930,fr,0.9934
24667,fr,0.9937
28585,fr,0.9923
28181,fr,0.9918
24193,fr,0.9926
26264,fr,0.9927
31653,fr,0.9927
27814,fr,0.9938
29793,fr,0.993
30589,fr,0.9938
28674,fr,0.9934
29555,fr,0.9924
22019,fr,0.9924
