id,paragraph_cnt,list_cnt,paragraph_lens,list_lens
35075,36,3,"[24, 3, 31, 21, 2, 10, 3, 102, 3, 101, 20, 61, 1, 2, 3, 2, 5, 2, 3, 2, 6, 2, 1, 2, 8, 1, 4, 3, 2, 2, 3, 3, 1, 5, 6, 69]","[7, 7, 4]"
25424,29,6,"[26, 10, 3, 83, 6, 74, 6, 3, 35, 4, 29, 4, 19, 2, 1, 4, 7, 35, 1, 6, 1, 1, 1, 9, 43, 21, 13, 9, 55]","[3, 7, 8, 2, 4, 3]"
33923,29,3,"[15, 5, 3, 3, 87, 11, 15, 5, 5, 7, 3, 8, 7, 15, 6, 3, 3, 2, 1, 23, 11, 1, 6, 1, 3, 2, 2, 6, 2]","[3, 3, 4]"
24691,13,3,"[8, 17, 9, 33, 7, 40, 5, 17, 5, 12, 4, 1, 2]","[3, 4, 4]"
26711,11,3,"[5, 7, 1, 7, 38, 5, 49, 4, 33, 4, 30]","[6, 5, 5]"
36903,1,0,[313],[]
36587,53,0,"[12, 77, 7, 31, 37, 2, 1, 1, 1, 1, 1, 3, 1, 6, 3, 7, 1, 54, 6, 3, 2, 23, 7, 1, 2, 7, 2, 2, 7, 2, 2, 7, 2, 2, 7, 15, 27, 2, 10, 4, 3, 4, 17, 6, 2, 2, 18, 1, 1, 22, 1, 3, 42]",[]
28112,12,3,"[4, 59, 4, 49, 4, 55, 1, 7, 4, 2, 2, 137]","[5, 6, 10]"
26657,8,3,"[58, 7, 2, 34, 2, 40, 2, 48]","[4, 5, 6]"
26319,12,3,"[4, 27, 3, 10, 6, 52, 5, 19, 4, 15, 4, 1]","[3, 6, 3]"
30747,67,0,"[12, 77, 7, 31, 37, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 5, 1, 1, 1, 6, 3, 7, 1, 54, 1, 2, 7, 6, 3, 2, 23, 7, 1, 2, 7, 1, 2, 7, 2, 2, 7, 2, 2, 7, 2, 2, 7, 15, 27, 2, 10, 4, 3, 4, 17, 6, 2, 2, 18, 1, 1, 22, 1, 3, 42]",[]
31046,41,2,"[2, 3, 4, 1, 5, 2, 9, 2, 18, 9, 7, 35, 1, 13, 1, 16, 3, 7, 17, 2, 8, 14, 12, 12, 13, 1, 4, 19, 35, 5, 7, 14, 1, 19, 12, 9, 5, 20, 7, 3, 1]","[5, 2]"
28293,26,0,"[6, 9, 9, 10, 5, 15, 5, 19, 14, 10, 12, 10, 13, 19, 21, 8, 5, 8, 7, 28, 13, 42, 14, 2, 7, 87]",[]
38455,15,4,"[20, 19, 5, 9, 2, 13, 6, 4, 2, 6, 9, 52, 70, 6, 27]","[3, 3, 3, 4]"
36467,1,0,[282],[]
29358,27,0,"[7, 26, 30, 37, 3, 2, 5, 9, 6, 4, 7, 1, 4, 4, 5, 6, 6, 1, 6, 18, 4, 8, 7, 10, 28, 17, 11]",[]
34863,1,0,[457],[]
36373,1,0,[398],[]
30668,11,3,"[1, 34, 61, 21, 25, 1, 178, 1, 94, 2, 29]","[16, 11, 7]"
22228,15,5,"[11, 57, 3, 61, 3, 53, 3, 7, 14, 8, 46, 12, 75, 29, 24]","[4, 7, 8, 5, 6]"
34488,15,3,"[20, 10, 2, 26, 2, 24, 2, 11, 22, 5, 10, 44, 24, 20, 73]","[4, 3, 5]"
33416,32,0,"[22, 7, 4, 4, 8, 9, 3, 5, 5, 8, 9, 8, 5, 2, 2, 4, 4, 69, 1, 1, 1, 1, 1, 2, 1, 4, 1, 3, 1, 3, 1, 10]",[]
