id,token_cnt
1,705
2,293
3,86
4,1144
5,235
6,844
7,2106
8,665
9,553
10,590
11,907
12,483
13,458
14,782
15,358
16,306
17,523
18,440
19,324
20,1182
21,566
22,623
23,318
24,587
25,526
26,612
27,569
28,293
29,312
30,800
31,257
32,460
33,903
34,493
35,382
36,202
37,343
38,309
39,650
40,1224
41,939
42,818
43,625
44,430
45,299
46,33
47,352
48,523
49,1012
50,703
51,475
52,471
53,738
54,886
55,275
56,993
57,184
58,1334
59,941
60,876
61,1087
62,820
63,332
64,459
65,231
66,532
67,1225
68,325
69,141
70,228
71,801
72,257
73,903
74,399
75,382
76,649
77,472
78,212
79,985
80,291
81,1365
82,1013
83,256
84,1225
85,418
86,866
87,401
88,442
89,228
90,1238
91,91
92,806
93,992
94,231
95,470
96,788
97,974
98,110
99,472
100,287
101,927
102,541
103,138
104,122
105,513
106,1780
107,575
108,643
109,455
110,950
111,792
112,355
113,432
114,477
115,1009
116,74
117,965
118,409
119,757
120,158
121,706
122,432
123,211
124,435
125,479
126,606
127,797
128,823
129,700
130,749
131,1007
132,538
133,64
134,336
135,297
136,101
137,226
138,1285
139,570
140,1087
141,134
142,186
143,598
144,1366
145,523
146,382
147,1306
148,514
149,1004
150,493
151,16
152,681
153,389
154,531
155,781
156,1103
157,391
158,2027
159,39
160,136
161,92
162,801
163,1227
164,449
165,377
166,427
167,726
168,471
169,39
170,465
171,330
172,344
173,848
174,682
175,317
176,711
177,657
178,424
179,1792
180,1595
181,1320
182,379
183,723
184,378
185,893
186,582
187,445
188,441
189,600
190,163
191,334
192,1479
193,951
194,981
195,829
196,643
197,699
198,300
199,511
200,249
201,147
202,1049
203,748
204,422
205,1020
206,396
207,1636
208,645
209,751
210,656
211,648
212,553
213,650
214,209
215,846
216,471
217,1376
218,932
219,308
220,2125
221,256
222,463
223,1284
224,475
225,362
226,455
227,611
228,486
229,665
230,636
231,511
232,910
233,565
234,531
235,509
236,856
237,1534
238,555
239,1187
240,588
241,296
242,36
243,501
244,935
245,342
246,1053
247,258
248,1003
249,741
250,1059
251,392
252,485
253,323
254,400
255,657
256,823
257,202
258,12
259,193
260,493
261,989
262,209
263,1157
264,171
265,674
266,1115
267,870
268,327
269,389
270,527
271,518
272,539
273,401
274,645
275,489
276,1442
277,346
278,1114
279,378
280,349
281,554
282,854
283,952
284,996
285,353
286,415
287,1183
288,215
289,1452
290,912
291,502
292,673
293,592
294,567
295,821
296,125
297,454
298,305
299,792
300,641
301,1246
302,985
303,1051
304,939
305,876
306,686
307,1011
308,545
309,450
310,150
311,396
312,107
313,21
314,987
315,822
316,661
317,331
318,755
319,1094
320,426
321,295
322,142
323,1266
324,86
325,544
326,325
327,1981
328,500
329,447
330,930
331,433
332,771
333,135
334,69
335,739
336,849
337,180
338,199
339,395
340,513
341,721
342,272
343,630
344,25
345,666
346,626
347,445
348,211
349,572
350,565
351,969
352,740
353,1048
354,599
355,625
356,552
357,515
358,508
359,1234
360,588
361,525
362,927
363,612
364,567
365,111
366,427
367,961
368,460
369,1117
370,448
371,198
372,736
373,915
374,987
375,497
376,882
377,365
378,638
379,480
380,437
381,119
382,1092
383,73
384,950
385,1167
386,82
387,816
388,315
389,278
390,502
391,244
392,1041
393,993
394,483
395,786
396,1087
397,220
398,930
399,777
400,80
401,1730
402,31
403,183
404,377
405,594
406,761
407,92
408,413
409,843
410,424
411,134
412,816
413,545
414,744
415,797
416,1563
417,745
418,767
419,903
420,398
421,722
422,993
423,555
424,714
425,605
426,632
427,563
428,434
429,980
430,535
431,387
432,355
433,606
434,329
435,640
436,698
437,894
438,147
439,262
440,374
441,1085
442,1734
443,604
444,754
445,548
446,601
447,293
448,501
449,1519
450,490
451,895
452,397
453,1468
454,471
455,392
456,965
457,520
458,57
459,772
460,719
461,727
462,1168
463,759
464,255
465,354
466,529
467,658
468,104
469,537
470,87
471,510
472,192
473,330
474,317
475,206
476,508
477,516
478,412
479,950
480,1128
481,1264
482,242
483,1142
484,489
485,1289
486,385
487,266
488,1189
489,1153
490,356
491,132
492,222
493,733
494,868
