id,paragraph_cnt,list_cnt,paragraph_lens,list_lens
13103,13,1,"[2, 17, 15, 3, 55, 2, 36, 5, 12, 6, 9, 4, 5]",[6]
3144,11,3,"[9, 212, 1, 168, 1, 135, 3, 66, 67, 85, 62]","[10, 9, 11]"
19853,12,2,"[6, 6, 5, 50, 43, 64, 1, 39, 1, 37, 17, 20]","[5, 4]"
14844,16,3,"[1, 1, 9, 19, 5, 46, 3, 7, 4, 17, 15, 45, 36, 25, 16, 56]","[7, 3, 2]"
712,18,1,"[2, 39, 21, 2, 58, 20, 1, 35, 2, 29, 32, 33, 7, 3, 19, 17, 38, 77]",[5]
6562,19,3,"[34, 27, 41, 3, 95, 3, 57, 45, 2, 17, 67, 20, 29, 19, 2, 24, 27, 24, 23]","[9, 4, 2]"
8391,29,2,"[6, 8, 7, 2, 49, 5, 102, 2, 59, 50, 36, 3, 41, 5, 3, 2, 18, 3, 29, 18, 8, 13, 30, 9, 8, 14, 42, 44, 37]","[7, 4]"
17698,13,1,"[2, 88, 2, 57, 55, 30, 34, 42, 1, 2, 2, 10, 38]",[6]
6020,14,5,"[2, 50, 43, 1, 50, 3, 44, 5, 24, 5, 151, 5, 72, 1]","[7, 8, 4, 10, 3]"
9173,13,1,"[30, 2, 9, 8, 25, 8, 8, 12, 3, 9, 18, 26, 66]",[7]
18880,10,2,"[3, 95, 5, 32, 36, 94, 7, 24, 92, 32]","[8, 11]"
15417,10,3,"[18, 25, 90, 5, 29, 3, 47, 8, 40, 11]","[4, 5, 4]"
6289,11,3,"[30, 12, 9, 25, 3, 15, 19, 7, 18, 23, 6]","[5, 4, 5]"
4211,27,1,"[69, 5, 12, 17, 11, 8, 4, 15, 6, 12, 7, 4, 64, 5, 2, 7, 7, 7, 11, 2, 90, 3, 2, 68, 80, 30, 14]",[21]
18512,33,3,"[3, 6, 17, 13, 9, 7, 10, 15, 32, 46, 45, 4, 19, 31, 42, 24, 3, 50, 38, 23, 7, 111, 1, 10, 81, 1, 6, 44, 53, 29, 112, 26, 56]","[8, 8, 19]"
1676,13,3,"[3, 9, 3, 59, 36, 5, 167, 6, 13, 36, 6, 3, 4]","[12, 2, 6]"
631,12,7,"[26, 2, 5, 6, 20, 24, 1, 2, 2, 2, 3, 3]","[2, 9, 2, 2, 2, 2, 2]"
16497,12,3,"[2, 44, 38, 3, 15, 8, 46, 5, 58, 46, 23, 3]","[5, 9, 6]"
265,13,2,"[2, 4, 12, 14, 33, 22, 11, 19, 8, 28, 2, 13, 15]","[5, 3]"
17838,8,0,"[40, 30, 42, 70, 48, 41, 14, 6]",[]
9548,26,3,"[2, 42, 24, 38, 33, 22, 2, 111, 6, 43, 161, 1, 3, 42, 3, 48, 2, 29, 32, 33, 7, 3, 19, 17, 38, 77]","[7, 4, 4]"
1915,13,3,"[11, 53, 41, 15, 19, 92, 47, 3, 16, 37, 8, 93, 9]","[4, 3, 4]"
10970,23,3,"[9, 3, 9, 34, 5, 14, 4, 92, 2, 72, 1, 7, 72, 33, 3, 13, 62, 2, 34, 35, 3, 33, 37]","[5, 6, 6]"
7887,9,2,"[3, 2, 92, 31, 3, 45, 3, 61, 3]","[6, 3]"
9122,16,0,"[30, 22, 3, 18, 14, 5, 8, 18, 17, 12, 5, 20, 51, 43, 38, 8]",[]
14910,23,2,"[5, 2, 61, 3, 52, 16, 3, 45, 4, 38, 4, 9, 6, 7, 4, 48, 5, 10, 17, 8, 18, 6, 15]","[4, 4]"
20011,12,0,"[3, 53, 3, 2, 26, 84, 45, 81, 35, 58, 19, 9]",[]
7802,18,3,"[2, 23, 26, 11, 67, 23, 1, 19, 2, 14, 3, 53, 59, 50, 43, 25, 64, 3]","[9, 3, 3]"
17484,15,3,"[40, 81, 3, 80, 52, 28, 2, 94, 3, 63, 2, 87, 4, 63, 69]","[3, 8, 6]"
19803,12,2,"[3, 2, 7, 67, 39, 23, 10, 48, 48, 6, 17, 15]","[6, 3]"
17214,22,3,"[2, 39, 23, 48, 2, 66, 3, 63, 5, 57, 1, 94, 2, 29, 32, 33, 3, 7, 19, 17, 38, 77]","[4, 5, 7]"
3730,7,0,"[22, 33, 16, 12, 5, 6, 6]",[]
7328,12,3,"[40, 29, 59, 34, 7, 86, 47, 11, 23, 5, 24, 16]","[3, 2, 3]"
1588,29,0,"[4, 23, 3, 80, 8, 25, 27, 15, 29, 15, 22, 14, 10, 4, 8, 4, 7, 18, 9, 9, 7, 2, 5, 12, 11, 23, 17, 34, 51]",[]
1223,24,4,"[10, 5, 21, 16, 37, 2, 13, 2, 60, 6, 59, 76, 10, 4, 14, 18, 11, 3, 16, 43, 5, 19, 16, 38]","[5, 4, 5, 4]"
5816,15,1,"[4, 3, 7, 7, 27, 1, 1, 121, 1, 71, 2, 37, 37, 21, 66]",[4]
20083,18,2,"[3, 3, 5, 33, 36, 16, 14, 3, 16, 3, 45, 14, 10, 26, 43, 50, 38, 19]","[4, 5]"
16729,12,2,"[73, 4, 9, 51, 20, 258, 9, 23, 2, 30, 35, 56]","[6, 2]"
8891,29,2,"[2, 14, 14, 32, 60, 15, 2, 7, 44, 54, 44, 10, 32, 24, 33, 1, 2, 62, 41, 7, 3, 2, 36, 69, 8, 28, 40, 110, 26]","[5, 3]"
16181,24,0,"[76, 6, 21, 52, 32, 20, 28, 32, 13, 67, 90, 4, 104, 13, 16, 24, 18, 16, 37, 3, 40, 40, 7, 10]",[]
9403,57,0,"[17, 26, 30, 19, 30, 26, 31, 17, 30, 23, 30, 19, 28, 16, 35, 21, 30, 16, 29, 22, 31, 11, 30, 16, 31, 24, 34, 33, 34, 15, 27, 31, 1, 3, 32, 9, 31, 5, 11, 16, 4, 1, 9, 3, 23, 76, 1, 32, 15, 1, 10, 1, 1, 19, 22, 1, 28]",[]
