id,detected_lang,score
16263,it,0.9812
16966,it,0.9934
20222,it,0.9929
8777,it,0.9922
17806,it,0.9949
13573,it,0.9941
9031,it,0.9946
19322,it,0.9937
17006,it,0.9946
13609,it,0.9953
8905,it,0.9944
18882,it,0.9922
13713,it,0.9948
16874,it,0.9891
15942,it,0.9937
9941,it,0.9949
9040,it,0.995
16796,it,0.9946
10888,it,0.9953
19153,it,0.9951
9565,it,0.9942
15922,it,0.995
15022,it,0.9916
18973,it,0.9912
9655,it,0.9948
16247,it,0.9932
16646,it,0.9934
14891,it,0.9952
14800,it,0.9957
11832,it,0.9943
12351,it,0.9958
16407,it,0.9931
12711,it,0.9956
11595,it,0.9939
20499,it,0.9944
9901,it,0.9947
18621,it,0.9925
13101,it,0.9946
14497,it,0.9935
12692,it,0.9952
16528,it,0.9944
10544,it,0.9954
9593,it,0.9948
12708,it,0.9957
15987,it,0.9933
11294,it,0.995
10877,it,0.9943
18484,it,0.9933
12452,it,0.9954
9964,it,0.995
9228,it,0.994
14930,it,0.9947
10746,it,0.9942
16384,it,0.9925
11700,it,0.9943
13563,it,0.9949
18795,it,0.9931
20192,it,0.9933
18566,it,0.9924
17451,it,0.9951
11125,it,0.9945
19597,it,0.9911
10436,it,0.9948
10656,it,0.9897
16512,it,0.9936
13789,it,0.9951
12524,it,0.9949
12398,it,0.9942
16805,it,0.9945
18014,it,0.9945
15300,it,0.9936
11660,it,0.9948
12871,it,0.9934
19375,it,0.9941
12466,it,0.9953
12059,it,0.9953
16504,it,0.9901
19886,it,0.9945
16284,it,0.9808
15513,it,0.9936
17770,it,0.9952
13819,it,0.9953
9677,it,0.995
13823,it,0.9949
16703,it,0.9951
17466,it,0.9959
16919,it,0.9943
11818,it,0.9938
17232,it,0.9944
16856,it,0.9921
9443,it,0.9937
20027,it,0.9934
18348,it,0.9956
19369,it,0.9935
15373,it,0.9947
9640,it,0.9948
9909,it,0.9946
8901,it,0.9956
15485,it,0.9941
9497,it,0.9956
19777,it,0.9928
13689,it,0.9941
12284,it,0.9952
18650,it,0.9943
9054,it,0.9933
11580,it,0.9939
10096,it,0.9928
17884,it,0.9946
10281,it,0.9948
15624,it,0.9944
17736,it,0.9937
17630,it,0.995
19314,it,0.994
19518,it,0.9935
16075,it,0.9943
12281,it,0.9926
18058,it,0.9939
19929,it,0.9952
17205,it,0.9941
11271,it,0.9952
18719,it,0.9948
12542,it,0.995
15413,it,0.9952
