id,detected_lang,score
4165,es,0.9819
96,es,0.9921
5813,es,0.9908
7563,es,0.9838
5053,es,0.9802
3446,es,0.9846
6702,es,0.9868
6139,es,0.9621
2243,es,0.9883
8336,es,0.9919
6104,es,0.9855
2559,es,0.9902
4344,es,0.9918
7780,es,0.9927
8285,es,0.9909
8657,es,0.9926
3280,es,0.9903
7961,es,0.9793
612,es,0.9909
7091,es,0.992
6062,es,0.9832
3809,es,0.9872
3334,es,0.9836
8266,es,0.9538
7116,es,0.9917
1454,es,0.9814
1398,es,0.9924
7563,es,0.9902
1546,es,0.9819
4048,es,0.9834
1147,es,0.9922
1316,es,0.9807
783,es,0.9818
2437,es,0.9919
6653,es,0.9917
2450,es,0.9778
7667,es,0.9855
374,es,0.9896
3994,es,0.9882
8279,es,0.9895
4048,es,0.9803
6263,es,0.9846
6280,es,0.9893
4149,es,0.9935
2464,es,0.9852
7052,es,0.9871
2610,es,0.993
1042,es,0.9926
911,es,0.9889
3536,es,0.9047
4635,es,0.9924
8608,es,0.9928
6711,es,0.9845
5324,es,0.9937
1847,es,0.9916
930,es,0.9877
4273,es,0.9902
4979,es,0.9474
3375,es,0.9825
2225,es,0.9699
6517,es,0.9827
7889,en,0.9755
544,es,0.9882
3566,es,0.9791
8419,es,0.9803
7315,es,0.9853
2033,es,0.9929
343,es,0.992
5286,es,0.9855
6598,es,0.9814
1228,es,0.9873
3788,es,0.9849
3918,es,0.9876
4655,es,0.9901
6037,es,0.9802
584,es,0.9933
208,es,0.988
4128,es,0.9759
7067,es,0.9893
6478,es,0.9882
870,es,0.9909
2511,es,0.9932
232,es,0.9783
5164,es,0.9728
6767,es,0.9762
4290,es,0.9922
6999,es,0.9844
2520,es,0.9911
5474,es,0.9814
7759,es,0.982
4640,es,0.9852
5487,es,0.9818
965,es,0.987
270,es,0.9917
6551,es,0.9905
8079,es,0.9907
588,es,0.993
949,es,0.9817
4527,es,0.9918
5967,es,0.9895
5117,es,0.9871
699,es,0.9768
2601,es,0.9929
2970,es,0.9927
6483,es,0.9794
2882,es,0.9857
5763,es,0.9915
6398,es,0.9919
5030,es,0.9885
3774,es,0.9881
879,es,0.989
6019,es,0.9892
5266,es,0.9728
1666,es,0.9917
8089,es,0.8442
3063,es,0.992
5276,es,0.9847
1296,es,0.9866
6000,es,0.9887
491,es,0.9941
4957,es,0.9841
1260,es,0.9939
2993,es,0.9854
7312,es,0.9814
7105,es,0.9894
7920,es,0.9827
8264,es,0.9901
959,es,0.991
4671,es,0.9714
1198,es,0.9635
1189,es,0.9838
189,es,0.9904
1043,es,0.9916
3313,es,0.9941
992,es,0.9938
6629,es,0.9856
4238,es,0.9922
8631,es,0.9927
5362,es,0.9932
2055,es,0.9903
932,es,0.9932
8140,en,0.9799
811,es,0.9751
3767,es,0.9914
2473,es,0.9897
4203,es,0.9857
3583,es,0.9918
3546,es,0.9917
2697,es,0.9911
681,es,0.9933
7299,es,0.9908
2609,es,0.9916
5426,es,0.9912
794,es,0.9728
5729,es,0.7841
6380,es,0.9918
888,es,0.9939
763,es,0.9882
1050,es,0.9881
6136,es,0.9827
8428,es,0.9865
5959,es,0.9927
1680,es,0.9834
3778,es,0.9909
735,es,0.9729
1627,es,0.9894
3662,es,0.9845
5157,es,0.9942
2794,es,0.9644
5258,es,0.9825
5262,es,0.9804
3440,es,0.9921
5142,es,0.9922
5062,es,0.9851
725,es,0.9925
567,es,0.9918
4598,es,0.9902
4836,es,0.9895
3173,es,0.9858
4089,es,0.9916
6162,es,0.9779
899,es,0.9827
233,es,0.9927
1259,es,0.9914
5277,es,0.968
354,es,0.9825
2880,es,0.99
595,es,0.9877
5544,es,0.9848
8405,es,0.9927
2551,es,0.9921
4226,es,0.9877
6664,es,0.9814
2631,es,0.9929
4840,es,0.9786
610,es,0.9927
8611,es,0.9926
1069,es,0.9909
2491,es,0.9767
691,es,0.9907
4544,es,0.993
1980,es,0.9826
4377,es,0.9913
5649,es,0.9938
2817,es,0.9612
4680,es,0.9912
6072,es,0.9837
4721,es,0.9886
1005,es,0.9915
3964,es,0.9764
7642,es,0.9819
8835,es,0.9831
1059,es,0.9897
8160,es,0.9827
42,es,0.9911
4240,es,0.9832
6888,es,0.9898
2534,es,0.9891
442,es,0.9922
8305,es,0.9897
3420,es,0.9934
7960,es,0.9795
678,es,0.9832
1231,es,0.982
413,es,0.9938
7226,es,0.9899
6133,es,0.9814
2272,es,0.9896
312,es,0.9935
8044,es,0.991
8506,es,0.9831
1833,es,0.9914
1068,es,0.9865
5138,es,0.9846
563,es,0.9918
4800,es,0.9885
4987,es,0.9901
5599,es,0.9893
794,es,0.9861
8261,es,0.9909
3616,es,0.9766
4146,es,0.978
1706,es,0.9775
5189,es,0.9859
6142,es,0.9917
5910,es,0.9823
5229,es,0.9848
1460,es,0.9936
848,es,0.9875
1378,es,0.9938
9021,es,0.9714
906,es,0.9911
3388,es,0.9918
3609,es,0.9586
8465,es,0.9822
1087,es,0.97
480,es,0.984
6943,es,0.9844
5978,es,0.9908
2875,es,0.9853
8713,es,0.986
6527,es,0.9871
8613,es,0.988
452,es,0.977
4261,es,0.9875
275,es,0.9888
6141,es,0.9928
5884,es,0.9921
5622,es,0.988
8024,es,0.9745
5000,es,0.9832
13,es,0.9838
4676,es,0.9803
4624,es,0.9858
1634,es,0.9779
293,es,0.9908
7067,es,0.9915
5877,es,0.9786
5224,es,0.9536
2479,es,0.9902
2015,es,0.9941
5194,es,0.9839
3004,es,0.9679
8180,es,0.9871
7918,es,0.9918
8386,es,0.982
7700,es,0.9874
3624,es,0.9875
5993,es,0.987
4847,es,0.9914
4716,es,0.9777
4469,es,0.9913
2025,es,0.9874
5301,es,0.9899
4299,es,0.9796
1678,es,0.9917
5251,es,0.9878
6553,es,0.988
5896,es,0.9873
2062,es,0.9918
6612,es,0.9843
6299,es,0.9931
7086,es,0.9911
6586,es,0.9936
7315,es,0.9853
3660,es,0.9875
196,es,0.9921
5188,es,0.9858
1361,es,0.9913
7245,es,0.9923
5974,es,0.9821
855,es,0.9925
4115,es,0.9917
206,es,0.9811
927,es,0.9849
316,es,0.9925
6135,es,0.981
6010,es,0.9742
6109,es,0.9814
8356,en,0.9859
2044,es,0.9876
3933,es,0.9832
7553,en,0.958
1175,es,0.9337
8504,es,0.9828
3887,es,0.993
5314,es,0.9848
5351,es,0.9875
1656,es,0.9678
2703,es,0.9391
6071,es,0.9903
8298,es,0.9873
4023,es,0.9807
5849,es,0.9801
7073,es,0.9821
167,es,0.9886
1859,es,0.9767
7576,es,0.9901
5121,es,0.9932
2793,es,0.9895
4996,es,0.9835
7979,es,0.9917
1567,es,0.978
798,es,0.9911
7893,en,0.978
4135,es,0.9759
1758,es,0.9834
6418,es,0.9925
5955,es,0.9879
9,es,0.9789
2367,es,0.9916
1110,es,0.9924
353,es,0.9903
6256,es,0.988
4395,es,0.979
2706,es,0.9838
3922,es,0.9542
8658,es,0.9886
6845,es,0.991
7325,es,0.9874
6194,es,0.975
7837,es,0.9846
2631,es,0.9898
6561,es,0.9917
1116,es,0.9797
1095,es,0.9864
3776,es,0.9799
2483,es,0.9786
2752,es,0.9918
5608,es,0.989
1263,es,0.9912
1056,es,0.9852
806,es,0.9929
6866,es,0.993
6675,es,0.9804
527,es,0.9927
2411,es,0.9865
4155,es,0.9894
2451,es,0.9749
3051,es,0.9759
4671,es,0.9913
4762,es,0.9845
3872,es,0.9908
3048,es,0.9911
8126,en,0.983
7205,es,0.9889
3343,es,0.9607
10,es,0.9753
8336,es,0.9905
3207,es,0.9814
2131,es,0.9879
3543,es,0.9905
8752,es,0.9872
3336,es,0.9794
3382,es,0.9833
5274,es,0.9836
25,es,0.9811
2471,es,0.9691
1770,es,0.9895
8406,es,0.932
3720,es,0.9919
2720,es,0.9876
4528,es,0.9658
5364,es,0.9819
5911,es,0.9917
4920,es,0.9784
4891,es,0.9887
8711,es,0.9872
5655,es,0.9854
4456,es,0.9919
5898,es,0.9872
54,es,0.9916
4599,es,0.9913
7756,es,0.9913
864,es,0.9908
7592,es,0.9937
6415,es,0.9914
3561,es,0.9886
2064,es,0.9941
2683,es,0.9925
1478,es,0.9935
6444,es,0.9916
1049,es,0.9463
6121,es,0.9922
8676,es,0.9884
5844,es,0.9798
4755,es,0.9906
8009,es,0.9888
2578,es,0.9787
1429,es,0.9856
1897,es,0.9814
3235,es,0.9906
1344,es,0.9917
2744,es,0.9897
1856,es,0.9819
7369,es,0.9878
4115,es,0.9803
639,es,0.9926
6405,es,0.9919
4083,es,0.9909
1790,es,0.9913
1997,es,0.9892
3282,es,0.9913
2754,es,0.9792
725,es,0.9892
1210,es,0.99
5151,es,0.9914
2514,es,0.9926
1326,es,0.9929
3488,es,0.9721
2182,es,0.9901
385,es,0.9919
4968,es,0.9857
1166,es,0.9901
7092,es,0.9939
4981,es,0.9845
6383,es,0.9814
4289,es,0.9894
1371,es,0.9899
7481,es,0.9919
4032,es,0.9905
4757,es,0.9894
1402,es,0.9929
7965,en,0.9797
1252,es,0.9791
3884,es,0.9877
7284,es,0.9842
8523,es,0.9898
1215,es,0.9911
6382,es,0.9799
7355,es,0.9801
212,es,0.9827
3912,es,0.9916
5859,es,0.9815
6904,es,0.991
4423,es,0.9901
8323,en,0.4575
2289,es,0.9925
474,es,0.987
6298,es,0.9752
2339,es,0.9831
4131,es,0.9527
1888,es,0.9886
1725,es,0.9822
6553,es,0.9923
2837,es,0.9729
6108,es,0.9759
5475,es,0.9779
2103,es,0.986
7719,es,0.9776
4005,es,0.9829
1723,es,0.9915
7706,es,0.9907
2959,es,0.9905
1828,es,0.9926
8194,es,0.9814
2041,es,0.991
5901,es,0.9896
6432,es,0.9861
1564,es,0.9837
5399,es,0.97
7817,es,0.99
1956,es,0.9627
5336,es,0.9801
568,es,0.9906
2108,es,0.994
6862,es,0.9924
352,es,0.9919
7629,es,0.9918
4316,es,0.9738
8330,en,0.9889
1041,es,0.9929
5166,es,0.993
421,es,0.9908
479,es,0.9913
7892,en,0.9832
6550,es,0.9825
4335,es,0.9666
4210,es,0.993
1144,es,0.9919
2842,es,0.993
3567,es,0.9891
2305,es,0.9878
6744,es,0.9825
8514,es,0.9893
6247,es,0.9909
1012,es,0.9863
4006,es,0.991
6445,es,0.9934
215,es,0.9861
1777,es,0.9919
4965,es,0.9823
534,es,0.9919
284,es,0.9907
1404,es,0.9919
933,es,0.9911
6843,es,0.9922
3357,es,0.9895
4482,es,0.9924
1903,es,0.9854
1008,es,0.9709
801,es,0.9872
3327,es,0.9939
1176,es,0.9702
3568,es,0.9879
3482,es,0.9861
983,es,0.9919
4798,es,0.9919
3232,es,0.9904
7163,es,0.9856
1597,es,0.9743
8840,es,0.9904
6449,es,0.9908
5747,en,0.9836
7336,es,0.9823
963,es,0.9725
5895,es,0.9894
8690,en,0.834
1926,es,0.9806
3460,es,0.9905
283,es,0.9908
3696,es,0.9905
2620,es,0.9891
3495,es,0.9759
513,es,0.983
6643,es,0.9874
6924,es,0.9892
2478,es,0.9776
7208,es,0.9844
5231,es,0.9666
5338,es,0.9712
6680,es,0.9916
5639,es,0.973
6257,es,0.9937
3042,es,0.9924
139,es,0.9886
1257,es,0.9753
6169,es,0.9825
2955,es,0.9916
4105,es,0.9917
5845,es,0.9724
3553,es,0.9917
1302,es,0.9924
7048,es,0.9873
3170,es,0.9841
19,es,0.9666
4132,es,0.9898
8469,es,0.9836
5765,es,0.9911
176,es,0.9857
6241,es,0.9893
3238,es,0.9915
5153,es,0.9885
5454,es,0.9774
8362,en,0.9747
7101,es,0.9595
1044,es,0.9789
4693,es,0.9853
3169,es,0.9892
891,es,0.9902
3606,es,0.9786
4946,es,0.9853
4985,es,0.9887
3029,es,0.9933
8114,es,0.9832
4858,es,0.9891
2442,es,0.9752
7662,es,0.9899
5982,es,0.9917
3958,es,0.9846
3384,es,0.9905
8847,es,0.9867
3366,es,0.9874
2309,es,0.9891
420,es,0.9883
6160,es,0.9922
2960,es,0.9818
8335,es,0.9938
2140,es,0.9844
4371,es,0.9875
7879,en,0.9735
3805,es,0.9813
2622,es,0.9854
1095,es,0.9776
3544,es,0.9886
6262,es,0.9915
5333,es,0.9777
810,es,0.9924
1737,es,0.987
3782,es,0.9874
4077,es,0.9928
3471,es,0.987
5818,es,0.9829
6515,es,0.9885
3677,es,0.989
2719,es,0.9906
6669,es,0.9814
374,es,0.991
1075,es,0.9928
3564,es,0.9832
2604,es,0.9879
5144,es,0.9914
2096,es,0.9898
6482,es,0.9885
3979,es,0.9848
6111,es,0.9918
5317,es,0.978
7087,es,0.9883
6249,es,0.9925
2982,es,0.9868
121,es,0.9911
7240,es,0.6842
1661,es,0.9862
5996,es,0.9938
3967,es,0.9792
3641,es,0.9856
854,es,0.9929
4014,es,0.9795
8018,es,0.9872
1763,es,0.9855
2129,es,0.9854
2055,es,0.9936
5204,es,0.9909
6099,es,0.9842
2272,es,0.9641
1557,es,0.9853
6917,es,0.9802
5821,es,0.9849
6923,es,0.9825
3885,es,0.9728
2534,es,0.9922
3410,es,0.9927
6651,es,0.9827
2443,es,0.9892
1040,es,0.9739
4838,es,0.9703
5110,es,0.9877
3711,es,0.9919
4406,es,0.9917
8033,es,0.9805
8823,es,0.9694
5843,es,0.9738
6411,es,0.9919
4796,es,0.9783
5218,es,0.9875
4841,es,0.9847
4442,es,0.9814
8024,es,0.9919
8446,es,0.9885
1683,es,0.9711
843,es,0.9912
6464,es,0.9872
7153,es,0.9937
2535,es,0.989
8333,es,0.984
5183,es,0.9807
1052,es,0.9814
2502,es,0.9902
5950,es,0.9853
4296,es,0.9875
1959,es,0.9847
5917,es,0.9835
1294,es,0.99
4912,es,0.9874
3294,es,0.9827
3788,es,0.9874
832,es,0.9819
6954,es,0.9835
6273,es,0.9846
8780,es,0.9837
8512,es,0.9856
2434,es,0.9825
7109,es,0.9781
7534,es,0.9761
4244,es,0.9801
1313,es,0.9805
744,es,0.9836
8107,en,0.9794
2197,es,0.9896
20,es,0.9878
3185,es,0.9898
5930,es,0.9866
7950,es,0.9923
1067,es,0.9864
1660,es,0.984
6787,es,0.9899
190,es,0.9922
677,es,0.9927
1142,es,0.9927
515,es,0.993
7078,es,0.9929
4729,es,0.9917
6522,es,0.9889
4428,es,0.9675
2630,es,0.9932
6132,es,0.9799
535,es,0.9875
4397,es,0.9739
6847,es,0.9493
1664,es,0.9732
3365,es,0.9883
3012,es,0.9852
5432,es,0.9906
7716,es,0.992
3830,es,0.9841
3649,es,0.9908
560,es,0.9885
351,es,0.9913
5305,es,0.9939
4099,es,0.9915
1920,es,0.9814
6482,es,0.9884
5948,es,0.9937
666,es,0.9834
6530,es,0.9924
4080,es,0.9896
6603,es,0.9759
4491,es,0.987
57,es,0.9849
4134,es,0.9923
5427,es,0.9829
4435,es,0.9856
4799,es,0.9771
1314,es,0.9874
5584,es,0.9919
2161,es,0.9926
8626,es,0.9861
872,es,0.9886
2443,es,0.9925
8074,es,0.9874
1389,es,0.9941
3799,es,0.9814
1713,es,0.9875
5856,es,0.9856
287,es,0.9937
3423,es,0.984
6435,es,0.9793
2355,es,0.9923
2658,es,0.9929
6651,es,0.9814
7121,es,0.9911
2475,es,0.984
3301,es,0.9942
8403,es,0.9903
3253,es,0.9918
683,es,0.9928
5100,es,0.9845
8448,es,0.9889
3093,es,0.9916
8873,es,0.9827
7213,es,0.9861
8139,es,0.9875
2802,es,0.9935
2262,es,0.9794
1638,es,0.9794
3226,es,0.9767
5124,es,0.9942
3780,es,0.9906
336,es,0.9911
1430,es,0.992
8542,es,0.9919
8624,es,0.9837
8142,en,0.9828
2146,es,0.9922
7412,es,0.9816
6621,es,0.9863
2168,es,0.9918
1035,es,0.99
2950,es,0.9807
2824,es,0.9859
6841,es,0.9864
3393,es,0.9886
1967,es,0.9872
5858,es,0.9864
133,es,0.9923
8452,es,0.9854
5732,es,0.7841
1866,es,0.9884
131,es,0.9888
3558,es,0.9845
2185,es,0.9926
3322,es,0.9834
7973,es,0.9532
7314,es,0.9849
4708,es,0.9919
4634,es,0.9831
8616,es,0.9927
3883,es,0.9767
1417,es,0.9936
279,es,0.992
3466,es,0.9706
84,es,0.9936
1403,es,0.9928
6638,es,0.9873
