id,token_cnt
1,746
2,438
3,1330
4,254
5,914
6,2346
7,665
8,563
9,925
10,345
11,432
12,552
13,315
14,1475
15,719
16,347
17,639
18,522
19,765
20,604
21,379
22,247
23,1046
24,521
25,728
26,764
27,1471
28,838
29,690
30,466
31,505
32,52
33,561
34,611
35,529
36,328
37,202
38,1068
39,1342
40,929
41,511
42,253
43,1429
44,525
45,282
46,912
47,305
48,293
49,452
50,1188
51,298
52,1620
53,280
54,500
55,906
56,430
57,327
58,1047
59,129
60,782
61,1079
62,1102
63,949
64,573
65,692
66,648
67,2149
68,557
69,623
70,376
71,946
72,71
73,921
74,943
75,225
76,1046
77,188
78,530
79,768
80,934
81,898
82,1186
83,267
84,305
85,1472
86,620
87,1204
88,182
89,1687
90,1172
91,467
92,602
93,485
94,45
95,200
96,1193
97,519
98,487
99,563
100,837
101,60
102,966
103,922
104,1965
105,1596
106,1554
107,1321
108,454
109,402
110,949
111,531
112,138
113,1077
114,659
115,741
116,773
117,710
118,166
119,763
120,1727
121,773
122,640
123,241
124,1007
125,1189
126,1003
127,480
128,574
129,846
130,574
131,595
132,975
133,1503
134,502
135,637
136,710
137,291
138,635
139,1063
140,470
141,1068
142,1207
143,339
144,439
145,950
146,741
147,239
148,227
149,507
150,1249
151,981
152,347
153,546
154,564
155,640
156,481
157,1705
158,404
159,1302
160,466
161,365
162,1012
163,1090
164,1188
165,224
166,537
167,705
168,481
169,362
170,647
171,585
172,1004
173,1067
174,641
175,539
176,504
177,1206
178,837
179,456
180,167
181,584
182,2028
183,447
184,1322
185,222
186,165
187,1017
188,599
189,423
190,15
191,800
192,604
193,244
194,1260
195,1228
196,740
197,1436
198,646
199,1086
200,653
201,1289
202,668
203,994
204,582
205,1356
206,479
207,232
208,824
209,978
210,759
211,525
212,141
213,959
214,934
215,378
216,601
217,479
218,262
219,1167
220,540
221,883
222,224
223,2089
224,110
225,427
226,1046
227,603
228,1647
229,953
230,1033
231,475
232,751
233,528
234,797
235,643
236,707
237,643
238,816
239,870
240,181
241,726
242,277
243,1478
244,1010
245,430
246,1573
247,433
248,1166
249,660
250,729
251,1434
252,791
253,304
254,739
255,678
256,180
257,389
258,423
259,1759
260,1292
261,1523
262,254
263,1257
264,1359
265,1350
266,651
267,1274
268,138
269,949
270,507
271,683
272,91
273,498
274,1235
275,4399
276,1397
277,2069
278,1280
279,867
280,43
281,396
282,831
283,558
284,706
285,536
286,1021
287,95
288,866
289,490
290,1302
291,464
292,777
293,1169
294,881
295,560
296,181
297,721
298,550
299,258
300,1322
301,603
302,740
303,693
304,1078
305,472
306,1099
307,1026
308,461
309,174
310,565
311,1162
312,1107
313,130
314,605
315,714
316,861
317,766
318,1321
319,274
320,224
321,1094
322,875
323,686
324,377
325,1463
326,212
327,676
328,450
329,643
330,1386
331,192
332,794
333,680
334,248
335,490
336,637
337,297
338,676
339,1249
340,785
341,1385
342,852
343,330
344,215
345,588
346,318
347,1168
348,307
349,570
350,1445
351,1520
352,375
353,616
354,521
355,336
356,743
357,803
358,360
359,425
360,474
361,716
362,1200
363,398
364,1863
365,415
366,452
367,1139
368,1372
369,1416
370,545
371,517
372,611
373,258
374,72
375,517
376,958
377,788
378,681
379,390
380,348
381,1558
382,1240
383,1133
384,1910
385,1080
386,88
387,571
388,1465
389,443
390,412
391,286
392,272
393,504
394,272
395,280
396,680
397,1279
398,537
399,617
400,1148
401,865
402,1269
403,927
404,294
405,1135
406,252
407,1354
408,78
409,654
410,1808
411,1878
412,859
413,1197
414,412
415,660
416,208
417,861
418,541
419,1911
420,228
421,583
422,1689
423,705
424,1173
425,728
426,422
427,186
428,1054
429,445
430,391
431,58
432,760
433,357
434,704
435,140
436,713
437,739
438,1230
439,471
440,1402
441,503
442,729
443,478
444,576
445,695
446,414
447,2661
448,319
449,478
450,377
451,1069
452,743
453,1655
454,1143
455,722
456,568
457,945
458,615
459,360
460,171
461,1039
462,1039
463,1911
464,395
465,546
466,829
467,687
468,507
469,561
470,314
471,475
472,1343
473,358
474,294
475,633
476,664
477,790
478,1142
479,720
480,1011
481,659
482,64
483,455
484,551
485,776
486,1935
487,1389
488,62
489,663
490,222
491,1170
492,831
493,357
494,1600
495,753
496,1459
497,586
498,344
499,867
500,887
501,750
502,1007
503,203
504,529
505,749
506,1155
507,213
508,652
509,288
510,843
511,2265
512,168
513,380
514,456
515,625
516,1145
517,440
518,194
519,353
520,337
521,1302
522,640
523,383
524,1009
525,656
526,386
527,879
528,395
529,458
530,919
531,191
532,662
533,864
534,675
535,227
536,786
537,619
538,917
539,933
540,1266
541,1537
542,53
543,749
544,1632
545,198
546,603
547,504
548,779
549,805
550,763
551,81
552,239
553,2167
554,42
555,421
556,902
557,581
558,606
559,1495
560,527
561,581
562,1214
563,877
564,1888
565,881
566,1076
567,858
568,812
569,939
570,863
571,552
572,471
573,851
574,580
575,444
576,701
577,624
578,720
579,1275
580,474
581,451
582,879
583,392
584,661
585,982
586,98
587,139
588,370
589,1049
590,1377
591,454
592,1237
593,1669
594,195
595,289
596,100
597,1514
598,522
599,1188
600,686
601,694
602,921
603,659
604,611
605,875
606,941
607,469
608,257
609,475
610,444
611,1814
612,921
613,832
614,514
615,1411
616,645
617,1882
618,1606
619,748
620,601
621,1392
622,790
623,257
624,595
625,884
626,1570
627,840
628,555
629,627
630,1175
631,650
632,243
633,291
634,514
635,246
636,516
637,280
638,295
639,750
640,495
641,669
642,586
643,1072
644,527
645,110
646,1840
647,194
648,167
649,837
650,1126
651,892
652,1058
653,1546
654,519
655,946
656,944
657,359
658,585
659,843
660,374
661,244
662,979
663,1002
664,534
665,751
666,938
667,1856
668,845
669,976
670,925
671,662
672,1565
673,1390
674,1504
675,447
676,1223
677,1333
678,678
679,658
680,93
681,124
682,1627
683,647
684,683
685,482
686,46
687,543
688,605
689,763
690,467
691,1238
692,625
693,932
694,534
695,1083
696,441
697,44
698,132
699,2564
700,1170
701,885
702,388
703,100
704,445
705,785
706,841
707,698
708,27
709,643
710,788
711,684
712,143
713,530
714,1579
715,1017
716,473
717,677
718,537
719,934
720,684
721,631
722,123
723,780
724,829
725,1201
726,890
727,690
728,502
729,976
730,298
731,630
732,225
733,1348
734,984
735,154
736,159
737,835
738,1192
739,706
740,645
741,1441
742,319
743,199
744,472
745,913
746,645
747,354
748,352
749,152
750,880
751,1054
752,756
753,490
754,558
755,178
756,453
757,558
758,745
759,971
760,353
761,539
762,1306
763,178
764,500
765,1295
766,1132
767,1242
768,1024
769,2210
770,378
771,316
772,1616
773,280
774,480
775,535
776,681
777,883
778,793
779,615
780,532
781,854
782,734
783,1183
784,592
785,1145
786,669
787,439
788,429
789,789
790,518
791,793
792,391
793,448
794,424
795,1238
796,723
797,342
798,203
799,597
800,350
801,1261
802,670
803,1720
804,853
805,668
806,868
807,477
808,1095
809,2341
810,63
811,1146
812,747
813,1703
814,742
815,1302
816,1138
817,681
818,1156
819,853
820,144
821,79
822,274
823,577
824,759
825,963
826,354
827,701
828,983
829,57
830,395
831,892
832,568
833,231
834,580
835,723
836,444
837,195
838,876
839,596
840,437
841,296
842,757
843,1147
844,392
845,887
846,577
847,543
848,263
849,497
850,760
851,260
852,218
853,1593
854,1682
855,691
856,942
857,716
858,827
859,904
860,940
