id,detected_lang,score
34583,en,0.991
16597,en,0.9901
2923,en,0.9928
29253,en,0.9871
11925,en,0.9908
17247,en,0.9835
59561,en,0.9871
32098,en,0.9906
30021,en,0.9888
34729,en,0.9752
46266,en,0.9838
54076,en,0.988
54262,en,0.9872
54866,en,0.9871
31035,en,0.9746
35053,en,0.9803
1573,en,0.9903
6264,en,0.9872
24899,en,0.9748
4228,en,0.9881
38563,en,0.9806
38150,en,0.9883
60407,en,0.9911
2417,en,0.9892
49608,en,0.9817
13062,en,0.9901
50489,en,0.9878
56463,en,0.9794
50564,en,0.9873
39618,en,0.9785
41507,en,0.9809
8896,en,0.9891
1486,en,0.9866
38004,en,0.9909
9642,en,0.9861
22173,en,0.9911
58803,en,0.9793
1322,en,0.9772
30421,en,0.9681
49474,en,0.9905
60786,en,0.984
49695,en,0.9864
56072,en,0.9857
26275,en,0.9915
43980,en,0.9814
46824,en,0.9793
44593,en,0.9828
14311,en,0.9862
37875,en,0.9914
6888,en,0.9883
31004,en,0.9896
23610,en,0.9864
30676,en,0.983
5234,en,0.9687
23001,en,0.9796
44066,en,0.9878
10354,en,0.9884
51064,en,0.9901
11390,en,0.986
557,en,0.9898
42352,en,0.9809
53646,en,0.9747
36031,en,0.9837
50152,en,0.9771
57100,en,0.9841
55357,en,0.9913
49052,en,0.9847
28607,en,0.9864
7506,en,0.9704
39757,en,0.9932
41725,en,0.9788
22466,en,0.988
7864,en,0.986
35337,en,0.9802
40461,en,0.9915
51042,en,0.9887
52538,en,0.9805
19326,en,0.9867
54,en,0.9762
30610,en,0.9814
7529,en,0.9818
54816,en,0.9871
45929,en,0.9882
59256,en,0.9894
34519,en,0.9807
9669,en,0.9866
27825,en,0.9895
48705,en,0.9835
7080,en,0.9821
34455,en,0.9859
51766,en,0.9906
48164,en,0.9728
9863,en,0.9778
52164,en,0.9849
41639,en,0.9758
33885,en,0.9917
48446,en,0.9889
25042,en,0.989
44034,en,0.9836
7949,en,0.986
31053,en,0.9751
31974,en,0.978
41131,en,0.9857
31594,en,0.9906
49822,th,0.0741
23264,en,0.987
21875,en,0.9773
18751,en,0.9893
38848,en,0.9754
2209,en,0.9899
48188,en,0.9881
6314,en,0.9792
33204,en,0.9894
47707,en,0.9644
5659,en,0.9734
17341,en,0.9776
19311,en,0.9889
19987,en,0.9671
50106,en,0.9717
32550,en,0.9894
19429,en,0.9758
52043,en,0.9729
52327,en,0.9858
49239,en,0.9912
52127,en,0.978
23710,en,0.9917
21804,en,0.9899
46306,en,0.9826
46951,en,0.9914
13798,en,0.9883
59583,en,0.9902
43704,en,0.9923
24020,en,0.9894
59400,en,0.9916
817,en,0.9901
137,en,0.9852
5104,en,0.9851
34004,en,0.99
57956,en,0.9904
47004,en,0.9921
4678,en,0.9894
40432,en,0.6325
8127,en,0.9853
34990,en,0.9758
1120,en,0.99
4797,en,0.9854
51237,en,0.9892
33943,en,0.9917
4216,en,0.9889
60397,en,0.9708
15551,en,0.9912
48955,en,0.9887
35280,en,0.9841
53603,en,0.9754
58411,en,0.9913
26606,en,0.9821
23508,en,0.9822
20681,en,0.98
59487,en,0.9848
2523,en,0.9765
61008,en,0.9855
45603,en,0.9934
12695,en,0.987
3365,en,0.9897
14835,en,0.9877
40225,en,0.9776
9199,en,0.9316
26792,en,0.9901
26679,en,0.9676
46857,en,0.9891
36304,en,0.9885
36616,en,0.9744
31521,en,0.9877
16464,en,0.9722
5600,en,0.9695
21331,en,0.9684
59500,en,0.992
59637,en,0.9825
25956,en,0.9682
16000,en,0.991
43648,en,0.9831
36017,en,0.9859
4570,en,0.9881
15548,en,0.9902
11706,en,0.9917
7916,en,0.9871
3995,en,0.9861
20918,en,0.9873
35086,en,0.9858
48000,en,0.9915
59049,en,0.9818
42182,en,0.9914
12307,en,0.9832
2653,en,0.9916
57450,en,0.97
24121,en,0.9889
31399,en,0.9852
50173,en,0.9933
23618,en,0.9867
18345,en,0.9873
19113,en,0.9792
16618,en,0.9871
27111,en,0.992
20360,en,0.9907
48386,en,0.9694
3623,en,0.9864
14702,en,0.973
35515,en,0.8949
21716,en,0.9864
55227,en,0.9895
32297,en,0.9936
24932,en,0.9833
15519,en,0.9909
47163,en,0.989
33230,en,0.9803
55010,en,0.9809
43634,en,0.9844
49155,en,0.9903
40213,en,0.9787
33656,en,0.9839
44891,en,0.9907
55749,en,0.9915
54139,en,0.9866
44090,en,0.981
60675,en,0.9854
59606,en,0.9892
21198,en,0.9692
38334,en,0.9921
42434,en,0.9779
22918,en,0.9863
5275,en,0.9845
35602,en,0.9891
17460,en,0.9818
45509,en,0.9794
19477,en,0.9845
36682,en,0.9911
12011,en,0.9849
24858,en,0.9838
38426,en,0.9876
12298,en,0.9722
24078,en,0.9908
53814,en,0.9676
27671,en,0.9893
53206,en,0.9818
2040,en,0.9833
16874,en,0.984
44855,en,0.991
48217,en,0.9692
7784,en,0.991
8927,en,0.9805
6161,en,0.9876
14831,en,0.9884
32526,en,0.9839
24509,en,0.9676
56354,en,0.9832
12964,en,0.9899
12161,en,0.9881
48423,en,0.9537
38757,en,0.9815
32622,en,0.9702
51831,en,0.984
11203,en,0.9871
24312,en,0.9798
60739,en,0.9928
56532,en,0.9907
28139,en,0.9827
17959,en,0.9846
57179,es,0.6606
47156,en,0.9748
45876,en,0.9913
13623,en,0.9896
7387,en,0.9727
9419,en,0.9889
22568,en,0.9819
48080,en,0.9875
20674,en,0.9821
55726,en,0.9804
60058,en,0.9826
18015,en,0.9881
42907,en,0.9869
21091,en,0.9769
7655,en,0.971
1155,en,0.9771
49803,en,0.992
27931,en,0.9826
18465,en,0.9773
28559,en,0.9861
8904,en,0.9878
43620,en,0.9846
49829,en,0.9917
25943,en,0.9883
23066,en,0.9809
57520,en,0.9859
25038,en,0.9838
28145,en,0.9808
4081,en,0.9839
59684,en,0.9882
21936,en,0.9835
43508,en,0.9792
53031,en,0.9913
39495,en,0.9843
38586,en,0.9865
50483,en,0.99
32663,en,0.9804
47212,en,0.9802
16255,en,0.984
17106,en,0.9845
39059,en,0.9771
11735,en,0.9832
5874,en,0.9916
43535,en,0.9874
43485,en,0.9867
55679,en,0.9785
34742,en,0.9864
5463,en,0.9936
29414,en,0.9818
22985,en,0.9854
29002,en,0.9842
55722,en,0.9894
12757,en,0.9873
21541,en,0.9832
56337,en,0.9874
753,en,0.9902
53209,en,0.9813
14133,en,0.9861
28695,en,0.9917
59077,en,0.9827
37015,en,0.9832
27154,en,0.9869
45767,en,0.9851
21307,en,0.9908
39630,en,0.988
94,en,0.9861
10837,en,0.9747
12691,en,0.9883
4476,en,0.9861
45456,en,0.9915
49120,en,0.9912
20189,en,0.9891
58294,en,0.9889
11875,en,0.9826
19639,en,0.9702
59863,en,0.9889
12546,en,0.9864
50390,en,0.9869
47680,en,0.9635
53928,en,0.9681
25247,en,0.9833
38964,en,0.9867
16387,en,0.9847
37432,en,0.9753
19790,en,0.9849
45741,en,0.9899
41941,en,0.9705
56,en,0.969
16222,en,0.9841
53083,en,0.9934
36889,en,0.9783
30366,en,0.9877
10024,en,0.9911
1081,en,0.9865
15594,en,0.9886
50285,en,0.978
29456,en,0.9826
11998,en,0.9815
7345,en,0.9895
20709,en,0.9903
33064,en,0.9818
43682,en,0.9887
11812,en,0.976
47859,en,0.9861
6466,en,0.9768
21675,en,0.9749
39988,en,0.9873
60069,en,0.9755
42547,en,0.9837
20706,en,0.9807
60448,en,0.9866
37924,en,0.9882
3511,en,0.9687
31562,en,0.987
45705,en,0.9904
20606,en,0.9446
58015,en,0.9805
30238,en,0.9895
50253,en,0.9837
14662,en,0.988
48696,en,0.9897
8935,en,0.9774
39182,en,0.9833
26919,en,0.9869
22645,en,0.9888
58202,en,0.9905
36655,en,0.9821
34952,en,0.9886
59530,en,0.9853
56722,en,0.9837
59755,en,0.9601
17615,en,0.983
35532,en,0.9783
55274,en,0.9813
60099,en,0.9852
23043,en,0.9796
13988,en,0.9731
1799,en,0.9901
38479,en,0.9892
45134,en,0.9907
41345,en,0.9858
54072,en,0.9816
3268,en,0.9719
12379,en,0.9902
13444,en,0.9914
16516,en,0.9852
22921,en,0.9856
5444,en,0.977
34184,en,0.9883
17046,en,0.9791
27384,en,0.9801
17852,en,0.9832
4658,en,0.9764
17939,en,0.9821
229,en,0.9857
56529,en,0.9808
34350,en,0.9855
18154,en,0.9811
17544,en,0.9888
48439,en,0.9765
46798,en,0.9897
1535,en,0.9872
5365,en,0.9912
38492,en,0.9899
47073,en,0.9814
32689,en,0.9839
56176,en,0.9785
57453,en,0.9693
6327,en,0.9805
13282,en,0.9855
29257,en,0.9911
59450,en,0.9881
39926,en,0.9927
40059,en,0.9817
20859,en,0.9751
14083,en,0.9805
4894,en,0.9587
7362,en,0.986
13115,en,0.9897
47374,en,0.9733
57926,en,0.9875
60499,en,0.9897
28626,en,0.9874
35489,en,0.972
33106,en,0.9829
43691,en,0.9896
6273,en,0.9819
28332,en,0.9823
38716,en,0.9842
15058,en,0.987
56524,en,0.9834
41470,en,0.9806
3945,en,0.9861
34333,en,0.9903
15582,en,0.9813
27714,en,0.9889
37936,en,0.989
27572,en,0.9892
26922,en,0.9914
35923,en,0.9804
2870,en,0.9814
44628,en,0.9867
1257,en,0.9908
5362,en,0.9823
97,en,0.9767
19624,en,0.9909
48083,en,0.9833
52409,en,0.9858
47251,en,0.9881
52550,en,0.9834
41346,en,0.9831
55786,en,0.9764
56330,en,0.9777
60497,en,0.9877
56910,en,0.9875
42455,en,0.9862
36764,en,0.9886
8097,en,0.9843
54813,en,0.977
32769,en,0.991
26615,en,0.9896
51321,en,0.8623
6110,en,0.9815
20476,en,0.9822
23098,en,0.9904
57401,en,0.9891
18313,en,0.9884
43892,en,0.9883
2364,en,0.9905
48507,en,0.9855
26481,en,0.9702
2746,en,0.9733
27516,en,0.9883
17366,en,0.9864
54361,en,0.9655
28226,en,0.9934
47652,en,0.9895
58495,en,0.993
55184,en,0.9914
44184,en,0.9825
53905,en,0.9835
26629,en,0.9797
59013,en,0.9862
28683,en,0.9814
46630,en,0.9781
21282,en,0.9879
35815,en,0.9781
13894,en,0.9884
5186,en,0.9845
58527,en,0.9832
40728,en,0.9778
46646,en,0.981
18538,en,0.9848
25406,en,0.9636
55876,en,0.9863
60792,en,0.9855
61049,en,0.9888
16061,en,0.9837
20106,en,0.9806
20649,en,0.9854
52014,en,0.9682
58122,en,0.9852
50057,en,0.9814
40332,en,0.9931
28583,en,0.983
22806,en,0.9874
43131,en,0.9824
21883,en,0.9886
54483,en,0.9663
48575,en,0.9883
38621,en,0.9767
47184,en,0.985
11373,en,0.9872
19192,en,0.9801
10489,en,0.9779
9316,en,0.9917
56187,en,0.9873
43733,en,0.9774
3758,en,0.9912
44851,en,0.9845
42010,en,0.9797
21894,en,0.9784
1091,en,0.9683
45693,en,0.9888
59879,en,0.9787
60039,en,0.9872
59419,en,0.9914
17355,en,0.9887
29233,en,0.9052
50053,en,0.9897
32695,en,0.9807
59456,en,0.9869
29300,en,0.9726
27538,en,0.9881
37356,en,0.9888
40447,en,0.9885
35703,en,0.9879
11827,en,0.9835
4971,en,0.9868
50398,en,0.9841
16212,en,0.9838
5027,en,0.9837
44087,en,0.9791
24337,en,0.9809
5623,en,0.9736
1014,en,0.9875
37093,en,0.9899
39262,en,0.9868
33547,en,0.9853
38305,en,0.9723
24852,en,0.9839
58638,en,0.9897
7183,en,0.9838
51303,en,0.9754
16669,en,0.9887
46558,en,0.9863
