id,detected_lang,score
13103,en,0.9806
3144,en,0.9879
19853,en,0.9894
14844,en,0.9864
712,en,0.9828
6562,en,0.9892
8391,en,0.9866
17698,en,0.9908
6020,en,0.9932
9173,en,0.9894
18880,en,0.9919
15417,en,0.9894
6289,en,0.9918
4211,en,0.9888
18512,en,0.9866
1676,en,0.9862
631,en,0.9031
16497,en,0.9862
265,en,0.9819
17838,en,0.9909
9548,en,0.9824
1915,en,0.9893
10970,en,0.988
7887,en,0.9884
9122,en,0.9923
14910,en,0.985
20011,en,0.9877
7802,en,0.9879
17484,en,0.9895
19803,en,0.9913
17214,en,0.9863
3730,en,0.9642
7328,en,0.9932
1588,en,0.9862
1223,en,0.9931
5816,en,0.979
20083,en,0.9889
16729,en,0.99
8891,en,0.9881
16181,en,0.9916
9403,en,0.9042
16191,en,0.9908
18503,en,0.986
6489,en,0.9879
18946,en,0.9902
9214,en,0.9876
17020,en,0.9933
3074,en,0.9899
6533,en,0.9906
15411,en,0.9897
5069,en,0.9837
5007,en,0.9877
12237,en,0.9857
10007,en,0.9931
12046,en,0.9915
19139,en,0.9898
586,en,0.985
6892,en,0.9911
12482,en,0.9872
11831,en,0.9928
821,en,0.9899
1917,en,0.987
5342,en,0.9878
11812,en,0.99
19382,en,0.9862
8941,en,0.9897
1598,en,0.9936
5953,en,0.99
3504,en,0.9899
154,en,0.9936
9319,en,0.9842
16826,en,0.9133
19096,en,0.9894
6102,en,0.9907
13779,en,0.9798
15315,en,0.9923
4799,en,0.9895
19352,en,0.984
230,en,0.9896
13378,en,0.9832
5107,en,0.9844
20246,en,0.9891
1845,en,0.9834
1668,en,0.9857
11703,en,0.975
15845,en,0.9918
13965,en,0.99
5597,en,0.989
8135,en,0.9911
2838,en,0.9908
9580,en,0.9832
19556,en,0.988
13049,en,0.9859
5899,en,0.9884
5036,en,0.9834
5627,en,0.9873
15287,en,0.9904
5798,en,0.9897
17226,en,0.9892
3345,en,0.9883
6951,en,0.9633
786,en,0.9878
20599,en,0.9916
17232,en,0.9899
4738,en,0.9887
11292,en,0.9854
8740,en,0.9845
21103,en,0.9902
10246,en,0.9913
3558,en,0.9908
6932,en,0.9849
17177,en,0.9902
8255,en,0.9911
14261,en,0.9919
19896,en,0.9865
21179,en,0.9881
1776,en,0.9894
16823,en,0.9394
606,en,0.9879
11365,en,0.9872
3064,en,0.9909
3682,en,0.9848
84,en,0.9924
10756,en,0.9906
5493,en,0.9767
3162,en,0.9896
12394,en,0.9909
4540,en,0.9906
19229,en,0.9863
6591,en,0.9856
5497,en,0.9819
3896,en,0.9901
4665,en,0.9806
17652,en,0.9901
8447,en,0.9876
4050,en,0.9879
14269,en,0.9918
17419,en,0.9846
7708,en,0.9888
3604,en,0.9884
3531,en,0.9838
16410,en,0.9823
5374,en,0.991
18595,en,0.9904
2400,en,0.9894
10386,en,0.9902
10023,en,0.9939
13727,en,0.9852
11000,en,0.9893
5427,en,0.986
4433,en,0.9768
1928,en,0.9935
1328,en,0.987
11634,en,0.9813
14625,en,0.9863
19998,en,0.9867
1207,en,0.9895
17873,en,0.9914
15536,en,0.9891
4105,en,0.9882
20713,en,0.986
13691,en,0.9671
4154,en,0.9913
3523,en,0.9932
4364,en,0.9592
20569,en,0.9915
7629,en,0.9891
8142,en,0.9884
13226,en,0.9884
17620,en,0.9862
14352,en,0.9898
3276,en,0.9855
20186,en,0.9889
7519,en,0.9875
7240,en,0.9921
20985,en,0.991
17168,en,0.9905
7606,en,0.9851
7154,en,0.9903
16594,en,0.9845
21353,en,0.9908
12066,en,0.9882
15712,en,0.9919
5875,en,0.9839
20530,en,0.9893
8205,en,0.9907
7961,en,0.9822
6916,en,0.9859
10177,en,0.9891
2286,en,0.9858
5136,en,0.9487
6250,en,0.9892
2139,en,0.9782
1359,en,0.9882
2998,en,0.9782
9820,en,0.984
6824,en,0.9888
4165,en,0.9913
12883,en,0.99
4614,en,0.9835
17485,en,0.9883
17154,en,0.9827
16819,en,0.9891
2066,en,0.9911
6034,en,0.9915
17819,en,0.9885
5846,en,0.9905
14166,en,0.9908
702,en,0.9799
1622,en,0.9871
2029,en,0.9924
9679,en,0.9905
12891,en,0.9908
65,en,0.9861
12025,en,0.9885
1650,en,0.9926
14154,en,0.9879
5027,en,0.9828
2466,en,0.9844
17047,en,0.9871
6641,en,0.9932
11026,en,0.9835
15675,en,0.9905
3726,en,0.9852
15789,en,0.9872
15229,en,0.9886
18261,en,0.9843
1551,en,0.9891
15320,en,0.9919
11810,en,0.9885
6924,en,0.9842
870,en,0.9912
17361,en,0.989
14660,en,0.9867
4032,en,0.9804
13494,en,0.9898
5330,en,0.9909
19354,en,0.9907
7848,en,0.9848
15382,en,0.9773
14696,en,0.9869
4263,en,0.9847
2980,en,0.9878
7682,en,0.9828
483,en,0.9899
20340,en,0.9927
15360,en,0.9925
19553,en,0.9913
4182,en,0.9848
21100,en,0.9887
1016,en,0.9792
1937,en,0.9915
13645,en,0.9855
496,en,0.9818
14595,en,0.9909
12477,en,0.9878
3887,en,0.9903
1206,en,0.9852
3128,en,0.9818
11057,en,0.9668
7558,en,0.9903
700,en,0.9861
3585,en,0.9908
4970,en,0.9906
14900,en,0.9723
3362,en,0.988
6937,en,0.988
13477,en,0.986
10671,en,0.991
