id,paragraph_cnt,list_cnt,paragraph_lens,list_lens
34583,42,12,"[2, 2, 35, 3, 90, 37, 1, 49, 1, 40, 2, 47, 2, 9, 8, 32, 1, 11, 4, 2, 30, 4, 61, 2, 3, 72, 2, 1, 18, 68, 1, 61, 3, 59, 3, 10, 1, 67, 2, 114, 2, 12]","[3, 7, 2, 3, 5, 8, 2, 5, 4, 4, 4, 6]"
16597,12,3,"[1, 1, 52, 3, 39, 3, 35, 19, 27, 3, 25, 6]","[4, 4, 8]"
2923,13,3,"[2, 8, 18, 5, 58, 2, 11, 25, 1, 4, 44, 2, 86]","[4, 5, 4]"
29253,22,4,"[3, 11, 97, 47, 12, 3, 68, 39, 6, 74, 5, 87, 4, 95, 4, 78, 21, 86, 3, 80, 16, 1]","[8, 4, 6, 6]"
11925,13,4,"[25, 11, 21, 6, 52, 2, 98, 2, 108, 2, 65, 10, 4]","[8, 10, 5, 5]"
17247,43,2,"[2, 3, 33, 17, 91, 33, 15, 128, 2, 27, 4, 32, 23, 2, 18, 11, 12, 9, 12, 12, 4, 5, 7, 3, 18, 5, 3, 8, 18, 7, 46, 53, 47, 3, 16, 9, 3, 69, 54, 15, 3, 16, 9]","[5, 9]"
59561,13,3,"[8, 42, 29, 24, 3, 54, 3, 56, 3, 24, 3, 24, 67]","[6, 5, 3]"
32098,8,2,"[4, 59, 3, 197, 4, 10, 85, 14]","[11, 5]"
30021,11,3,"[60, 3, 41, 11, 83, 6, 59, 5, 95, 85, 17]","[6, 7, 5]"
34729,49,14,"[75, 64, 14, 147, 4, 45, 5, 292, 48, 5, 2, 12, 17, 3, 11, 3, 5, 4, 40, 18, 2, 3, 4, 9, 10, 5, 12, 3, 13, 21, 18, 11, 11, 3, 9, 116, 8, 10, 5, 12, 3, 13, 21, 18, 11, 13, 5, 1, 63]","[5, 20, 5, 4, 5, 2, 4, 3, 5, 4, 5, 2, 4, 3]"
46266,12,3,"[5, 5, 66, 45, 7, 55, 6, 67, 4, 41, 6, 39]","[5, 5, 4]"
54076,8,3,"[62, 3, 115, 2, 140, 2, 33, 5]","[9, 15, 9]"
54262,42,0,"[2, 80, 5, 19, 21, 16, 10, 10, 30, 7, 14, 4, 28, 19, 14, 14, 12, 9, 11, 16, 11, 2, 3, 8, 11, 13, 4, 25, 34, 35, 26, 24, 31, 19, 22, 29, 19, 28, 2, 183, 2, 169]",[]
54866,38,0,"[2, 25, 14, 86, 2, 101, 6, 18, 10, 5, 7, 12, 6, 17, 31, 9, 12, 8, 17, 19, 10, 3, 3, 10, 14, 15, 12, 14, 24, 4, 1, 21, 10, 10, 7, 20, 2, 12]",[]
31035,12,2,"[1, 179, 1, 6, 88, 6, 102, 21, 2, 149, 3, 26]","[4, 5]"
35053,9,2,"[47, 4, 33, 2, 10, 2, 185, 5, 244]","[7, 12]"
1573,8,2,"[8, 78, 6, 71, 14, 100, 18, 3]","[7, 4]"
6264,17,3,"[2, 43, 43, 2, 47, 7, 27, 441, 1, 141, 2, 50, 4, 71, 61, 80, 14]","[23, 10, 7]"
24899,64,4,"[24, 3, 7, 1, 98, 1, 16, 31, 16, 22, 39, 23, 19, 461, 1, 9, 129, 9, 73, 5, 16, 2, 10, 39, 3, 1, 5, 1, 5, 12, 1, 5, 17, 1, 5, 7, 1, 1, 4, 4, 1, 5, 4, 1, 9, 8, 1, 4, 5, 1, 6, 7, 3, 2, 11, 9, 8, 4, 74, 1, 2, 26, 2, 19]","[3, 24, 3, 3]"
4228,11,2,"[2, 7, 14, 22, 13, 4, 5, 11, 15, 24, 14]","[2, 3]"
38563,10,2,"[27, 10, 3, 13, 3, 140, 3, 40, 57, 1]","[11, 6]"
38150,27,1,"[88, 4, 55, 3, 24, 9, 32, 36, 23, 18, 29, 3, 21, 15, 44, 7, 1, 11, 20, 19, 11, 25, 14, 6, 42, 31, 51]",[5]
60407,15,4,"[2, 49, 6, 9, 9, 4, 12, 116, 3, 58, 2, 114, 4, 21, 6]","[9, 3, 10, 3]"
2417,8,2,"[82, 104, 9, 136, 9, 68, 3, 3]","[8, 6]"
49608,39,1,"[80, 117, 3, 62, 2, 14, 23, 20, 6, 14, 29, 1, 5, 6, 1, 3, 3, 5, 12, 11, 8, 4, 2, 71, 26, 4, 9, 9, 11, 2, 50, 24, 46, 6, 5, 6, 100, 10, 59]",[10]
13062,11,3,"[6, 8, 1, 15, 3, 4, 1, 391, 1, 100, 57]","[6, 24, 12]"
50489,9,0,"[70, 32, 6, 133, 25, 18, 38, 52, 20]",[]
56463,17,3,"[74, 46, 179, 2, 64, 5, 248, 2, 40, 5, 61, 37, 70, 145, 8, 9, 4]","[5, 11, 3]"
50564,26,1,"[2, 5, 6, 6, 3, 49, 2, 5, 17, 7, 4, 10, 2, 6, 9, 2, 2, 2, 2, 2, 2, 3, 2, 20, 29, 7]",[3]
39618,19,1,"[47, 79, 49, 68, 54, 5, 54, 8, 66, 106, 11, 66, 63, 44, 9, 23, 3, 30, 41]",[5]
41507,30,0,"[2, 11, 22, 10, 1, 92, 145, 3, 42, 76, 62, 16, 3, 20, 19, 18, 22, 26, 16, 5, 103, 3, 103, 16, 5, 2, 29, 9, 65, 150]",[]
8896,8,0,"[3, 1, 13, 62, 1, 24, 34, 8]",[]
1486,11,3,"[16, 58, 7, 27, 5, 29, 6, 6, 53, 3, 3]","[4, 3, 4]"
38004,36,5,"[83, 6, 10, 4, 14, 1, 51, 1, 14, 2, 122, 2, 22, 1, 20, 4, 25, 4, 133, 53, 2, 5, 2, 73, 2, 22, 95, 87, 53, 2, 3, 48, 3, 50, 3, 59]","[3, 10, 2, 5, 6]"
9642,8,2,"[2, 74, 2, 133, 1, 118, 2, 95]","[6, 8]"
22173,14,4,"[2, 4, 8, 97, 23, 5, 9, 2, 61, 9, 50, 3, 22, 41]","[3, 5, 7, 6]"
58803,10,0,"[1, 57, 1, 4, 12, 13, 8, 20, 3, 53]",[]
1322,24,1,"[4, 3, 3, 2, 33, 12, 18, 16, 11, 14, 12, 2, 109, 18, 14, 3, 2, 10, 2, 12, 15, 2, 2, 1]",[5]
30421,53,3,"[20, 6, 6, 7, 3, 3, 2, 6, 18, 56, 38, 2, 45, 22, 2, 68, 13, 148, 8, 15, 13, 48, 37, 25, 3, 58, 82, 37, 112, 30, 80, 2, 12, 109, 13, 12, 44, 53, 13, 12, 28, 59, 13, 25, 24, 25, 2, 52, 70, 3, 3, 2, 10]","[10, 2, 4]"
49474,27,2,"[62, 10, 4, 28, 20, 17, 11, 11, 5, 12, 11, 4, 5, 4, 4, 26, 3, 96, 4, 42, 6, 21, 194, 2, 150, 2, 74]","[3, 8]"
60786,16,0,"[100, 85, 3, 43, 2, 19, 15, 16, 14, 12, 2, 22, 8, 6, 9, 13]",[]
49695,14,3,"[2, 142, 2, 81, 9, 170, 1, 5, 80, 2, 13, 3, 58, 22]","[12, 9, 3]"
56072,17,3,"[69, 5, 144, 2, 70, 4, 74, 127, 1, 13, 2, 4, 5, 4, 7, 8, 6]","[9, 4, 7]"
26275,17,4,"[2, 9, 4, 52, 79, 25, 8, 30, 8, 7, 36, 11, 17, 13, 10, 13, 9]","[6, 5, 4, 5]"
43980,19,3,"[25, 24, 18, 2, 92, 11, 21, 18, 5, 3, 3, 30, 15, 303, 15, 8, 193, 11, 52]","[10, 13, 4]"
46824,10,2,"[16, 1, 49, 5, 82, 2, 55, 3, 93, 106]","[7, 5]"
44593,20,2,"[2, 71, 55, 42, 16, 19, 16, 2, 70, 5, 35, 8, 1, 56, 2, 4, 72, 3, 1, 3]","[5, 14]"
14311,24,6,"[2, 60, 2, 72, 71, 3, 36, 379, 1, 43, 3, 49, 2, 100, 1, 53, 2, 29, 3, 13, 3, 61, 2, 59]","[11, 4, 5, 5, 4, 2]"
37875,11,3,"[2, 106, 132, 2, 3, 3, 224, 2, 46, 12, 64]","[11, 6, 7]"
6888,9,4,"[64, 2, 200, 3, 189, 2, 123, 4, 62]","[9, 9, 6, 9]"
31004,15,2,"[2, 93, 2, 234, 49, 1, 87, 44, 1, 2, 2, 29, 75, 2, 124]","[14, 10]"
23610,29,3,"[22, 5, 40, 21, 5, 17, 115, 22, 11, 5, 27, 14, 14, 12, 97, 142, 47, 8, 33, 61, 219, 10, 154, 3, 4, 14, 10, 4, 6]","[3, 17, 6]"
30676,33,2,"[4, 41, 7, 134, 5, 33, 3, 14, 2, 11, 6, 6, 6, 4, 3, 4, 17, 16, 22, 6, 50, 33, 13, 4, 48, 4, 59, 54, 109, 3, 112, 44, 19]","[8, 6]"
5234,24,3,"[4, 5, 17, 4, 4, 8, 9, 3, 3, 8, 20, 9, 11, 4, 141, 5, 110, 3, 22, 42, 119, 25, 55, 39]","[12, 13, 4]"
23001,24,2,"[19, 4, 78, 3, 76, 13, 19, 9, 47, 1, 53, 16, 8, 4, 6, 4, 16, 5, 4, 30, 108, 60, 107, 17]","[4, 4]"
44066,92,0,"[2, 2, 3, 112, 83, 1, 44, 1, 40, 2, 44, 2, 10, 8, 4, 16, 3, 6, 7, 7, 1, 8, 2, 9, 21, 4, 17, 9, 13, 18, 12, 2, 3, 15, 20, 11, 5, 5, 8, 13, 7, 1, 6, 13, 3, 9, 1, 40, 3, 2, 11, 1, 9, 1, 7, 23, 1, 13, 1, 22, 24, 15, 1, 19, 20, 22, 1, 35, 6, 1, 22, 3, 13, 19, 20, 14, 3, 11, 1, 11, 28, 19, 16, 2, 16, 10, 13, 20, 16, 23, 8, 26]",[]
10354,23,0,"[21, 9, 15, 16, 25, 11, 14, 21, 16, 10, 9, 10, 1, 17, 12, 15, 16, 5, 22, 10, 18, 3, 10]",[]
51064,11,3,"[84, 4, 60, 5, 11, 45, 1, 3, 22, 39, 16]","[5, 6, 3]"
11390,50,0,"[2, 65, 262, 3, 30, 21, 22, 18, 4, 76, 5, 10, 13, 15, 12, 6, 10, 7, 10, 17, 5, 10, 11, 11, 5, 18, 2, 1, 4, 31, 69, 202, 3, 4, 7, 35, 80, 56, 7, 184, 6, 126, 4, 2, 3, 3, 6, 2, 4, 4]",[]
557,19,2,"[49, 31, 45, 5, 53, 99, 67, 3, 42, 83, 6, 54, 9, 7, 23, 34, 29, 3, 4]","[5, 3]"
42352,17,4,"[5, 6, 31, 52, 3, 72, 13, 2, 234, 2, 212, 11, 21, 7, 2, 4, 49]","[2, 11, 18, 3]"
53646,17,2,"[5, 8, 6, 3, 52, 125, 33, 10, 7, 31, 10, 2, 29, 46, 127, 127, 39]","[4, 5]"
36031,33,3,"[1, 15, 1, 4, 6, 6, 7, 4, 4, 2, 7, 60, 1, 18, 57, 1, 6, 46, 2, 19, 2, 4, 4, 79, 44, 54, 4, 74, 10, 51, 45, 4, 22]","[4, 4, 2]"
50152,21,4,"[2, 115, 2, 105, 4, 294, 1, 262, 3, 50, 3, 42, 2, 70, 55, 57, 41, 52, 12, 29, 7]","[15, 13, 4, 3]"
57100,31,3,"[1, 34, 1, 4, 6, 6, 7, 4, 4, 2, 7, 60, 1, 18, 56, 1, 6, 37, 2, 18, 4, 74, 44, 54, 4, 74, 10, 51, 45, 4, 22]","[4, 5, 2]"
55357,17,2,"[8, 51, 194, 4, 6, 7, 8, 2, 2, 70, 58, 21, 13, 27, 170, 26, 87]","[12, 5]"
49052,12,1,"[15, 10, 48, 3, 8, 28, 12, 10, 11, 9, 2, 26]",[5]
28607,19,2,"[2, 133, 2, 3, 32, 3, 175, 1, 39, 2, 34, 35, 50, 34, 35, 50, 34, 35, 50]","[11, 4]"
7506,23,0,"[8, 32, 2, 5, 19, 58, 1, 3, 3, 33, 2, 15, 3, 2, 7, 4, 96, 60, 7, 111, 4, 9, 61]",[]
39757,15,1,"[2, 21, 2, 16, 42, 21, 20, 10, 12, 11, 23, 14, 7, 2, 12]",[6]
41725,12,3,"[70, 73, 28, 3, 53, 12, 50, 2, 94, 26, 14, 15]","[4, 3, 8]"
22466,19,0,"[6, 74, 48, 2, 29, 61, 20, 19, 25, 44, 2, 16, 9, 16, 6, 12, 8, 31, 50]",[]
7864,26,4,"[68, 5, 43, 3, 50, 57, 14, 2, 14, 80, 5, 95, 2, 104, 16, 16, 9, 61, 37, 10, 61, 145, 8, 8, 4, 1]","[5, 7, 7, 6]"
35337,15,1,"[88, 6, 44, 59, 4, 98, 5, 36, 11, 69, 8, 21, 14, 58, 4]",[2]
40461,18,2,"[2, 60, 10, 32, 72, 15, 2, 8, 139, 1, 10, 41, 8, 2, 5, 120, 8, 45]","[11, 5]"
51042,12,3,"[107, 4, 66, 5, 11, 11, 47, 1, 3, 16, 39, 18]","[5, 6, 3]"
52538,16,2,"[2, 2, 8, 20, 7, 4, 8, 16, 3, 111, 3, 94, 10, 8, 2, 5]","[5, 7]"
19326,31,3,"[3, 3, 136, 5, 26, 11, 22, 33, 19, 20, 25, 19, 18, 33, 17, 25, 5, 6, 6, 19, 14, 17, 24, 3, 188, 35, 47, 134, 37, 141, 5]","[2, 11, 4]"
54,11,4,"[14, 5, 30, 4, 53, 4, 26, 14, 130, 1, 3]","[3, 4, 3, 7]"
30610,33,5,"[4, 44, 38, 79, 36, 10, 5, 2, 23, 4, 41, 3, 11, 2, 21, 3, 25, 3, 6, 3, 134, 1, 138, 65, 3, 96, 46, 5, 2, 4, 22, 18, 16]","[4, 3, 3, 4, 5]"
7529,17,5,"[1, 13, 4, 104, 109, 65, 1, 19, 96, 1, 106, 2, 94, 68, 33, 113, 101]","[8, 11, 8, 5, 6]"
54816,39,0,"[2, 25, 14, 86, 2, 101, 6, 18, 10, 5, 7, 12, 6, 17, 31, 9, 12, 8, 17, 19, 10, 3, 3, 10, 14, 15, 12, 14, 24, 4, 1, 21, 10, 10, 7, 20, 1, 2, 12]",[]
45929,13,1,"[63, 7, 506, 5, 22, 18, 32, 8, 5, 22, 3, 7, 22]",[8]
59256,50,0,"[78, 63, 7, 11, 8, 13, 9, 12, 8, 23, 11, 36, 16, 19, 17, 7, 7, 12, 19, 12, 10, 26, 11, 10, 21, 14, 17, 6, 10, 13, 16, 12, 17, 7, 7, 17, 31, 18, 11, 13, 6, 107, 6, 31, 85, 57, 45, 7, 6, 5]",[]
34519,23,0,"[4, 5, 8, 30, 4, 8, 6, 4, 2, 11, 10, 23, 5, 2, 7, 4, 3, 3, 3, 2, 3, 86, 13]",[]
9669,30,3,"[1, 1, 2, 29, 19, 49, 4, 144, 155, 4, 32, 26, 16, 13, 3, 3, 2, 4, 79, 8, 2, 3, 5, 1, 4, 1, 2, 2, 2, 1]","[10, 14, 4]"
27825,8,2,"[87, 7, 116, 4, 88, 9, 25, 98]","[8, 7]"
48705,24,1,"[83, 69, 1, 70, 54, 22, 49, 1, 22, 1, 14, 8, 1, 36, 99, 91, 96, 87, 63, 8, 73, 15, 19, 3]",[9]
7080,24,0,"[96, 18, 17, 28, 3, 9, 15, 34, 15, 8, 6, 5, 12, 10, 4, 13, 15, 13, 1, 12, 12, 15, 5, 34]",[]
34455,36,3,"[14, 8, 56, 1, 48, 1, 32, 104, 21, 11, 14, 19, 7, 10, 12, 3, 25, 24, 10, 39, 4, 39, 17, 26, 25, 16, 20, 6, 102, 17, 129, 54, 41, 5, 48, 47]","[3, 6, 3]"
51766,14,2,"[9, 19, 3, 12, 3, 95, 5, 80, 14, 15, 35, 7, 5, 55]","[11, 8]"
48164,11,4,"[5, 81, 19, 58, 4, 58, 59, 3, 54, 6, 350]","[14, 3, 3, 13]"
9863,26,0,"[3, 9, 8, 13, 22, 5, 5, 22, 12, 11, 17, 40, 17, 12, 5, 78, 2, 8, 8, 2, 5, 4, 4, 5, 6, 3]",[]
52164,34,0,"[4, 5, 6, 6, 4, 1, 67, 79, 1, 2, 28, 14, 20, 11, 15, 20, 26, 16, 10, 10, 6, 1, 18, 7, 4, 12, 11, 16, 1, 6, 12, 8, 12, 5]",[]
41639,16,3,"[2, 107, 43, 2, 65, 2, 99, 4, 114, 2, 114, 19, 98, 4, 74, 92]","[7, 9, 9]"
33885,7,2,"[44, 4, 38, 5, 52, 35, 18]","[5, 5]"
48446,8,3,"[12, 97, 1, 12, 72, 12, 235, 60]","[4, 5, 28]"
25042,29,8,"[87, 8, 5, 8, 14, 6, 21, 5, 5, 3, 2, 29, 3, 123, 2, 36, 14, 14, 13, 16, 4, 31, 8, 136, 1, 18, 3, 100, 80]","[8, 4, 2, 3, 2, 9, 2, 4]"
44034,26,3,"[5, 94, 2, 42, 46, 36, 283, 8, 4, 13, 9, 8, 12, 4, 13, 2, 7, 3, 8, 8, 183, 41, 4, 50, 112, 87]","[12, 4, 2]"
7949,11,0,"[13, 26, 28, 37, 67, 41, 75, 54, 22, 95, 3]",[]
31053,16,3,"[23, 36, 20, 23, 20, 61, 18, 14, 46, 21, 24, 38, 21, 4, 10, 4]","[3, 3, 3]"
31974,39,1,"[2, 6, 6, 3, 123, 3, 368, 3, 18, 6, 6, 46, 61, 91, 1, 53, 3, 51, 5, 3, 4, 3, 4, 5, 5, 3, 4, 8, 2, 15, 3, 3, 2, 2, 1, 10, 12, 11, 6]",[14]
