id,paragraph_cnt,list_cnt,paragraph_lens,list_lens
36543,19,2,"[1, 4, 5, 8, 6, 12, 4, 1, 17, 2, 36, 1, 24, 8, 11, 9, 5, 1, 20]","[4, 5]"
34641,9,3,"[47, 3, 20, 3, 22, 4, 43, 3, 8]","[5, 5, 7]"
42678,28,2,"[54, 4, 1, 1, 3, 1, 9, 1, 1, 1, 1, 1, 71, 58, 15, 9, 2, 4, 47, 2, 2, 40, 2, 5, 145, 16, 1, 3]","[5, 5]"
37889,1,0,[337],[]
33574,27,0,"[40, 49, 45, 7, 39, 20, 12, 3, 34, 25, 5, 27, 12, 10, 15, 18, 7, 14, 8, 6, 6, 16, 20, 62, 5, 35, 62]",[]
41867,26,5,"[28, 5, 43, 3, 22, 54, 4, 68, 37, 3, 60, 6, 22, 37, 14, 15, 3, 60, 5, 43, 3, 22, 54, 6, 22, 37]","[3, 5, 6, 3, 5]"
33019,19,3,"[7, 6, 63, 79, 3, 2, 5, 28, 2, 6, 30, 2, 7, 18, 41, 4, 7, 9, 9]","[2, 4, 4]"
39550,29,4,"[6, 5, 4, 2, 2, 1, 3, 88, 4, 30, 2, 16, 2, 47, 19, 2, 27, 3, 5, 2, 2, 17, 1, 6, 2, 5, 2, 4, 2]","[4, 2, 6, 8]"
42188,17,3,"[10, 6, 95, 7, 44, 9, 9, 4, 56, 3, 6, 3, 10, 4, 4, 104, 5]","[10, 4, 6]"
41680,16,3,"[46, 46, 10, 6, 2, 6, 33, 2, 4, 23, 2, 6, 230, 6, 7, 100]","[8, 9, 13]"
38330,32,0,"[11, 41, 3, 2, 22, 2, 7, 8, 10, 8, 14, 9, 12, 8, 13, 10, 2, 9, 4, 7, 13, 4, 5, 11, 5, 1, 2, 2, 4, 6, 6, 18]",[]
33520,25,0,"[56, 1, 11, 22, 24, 25, 20, 28, 22, 20, 1, 4, 21, 21, 19, 21, 1, 8, 9, 4, 2, 10, 28, 2, 56]",[]
39435,12,3,"[103, 3, 2, 48, 2, 5, 22, 2, 70, 13, 4, 23]","[6, 6, 17]"
42539,12,3,"[8, 43, 2, 97, 2, 58, 2, 25, 1, 5, 1, 19]","[5, 5, 7]"
35170,23,2,"[43, 4, 20, 3, 21, 3, 7, 49, 14, 11, 9, 10, 9, 13, 18, 8, 14, 8, 2, 2, 4, 5, 4]","[4, 3]"
33801,12,3,"[2, 66, 68, 2, 5, 16, 1, 3, 47, 2, 3, 89]","[3, 4, 6]"
33080,19,2,"[1, 15, 35, 30, 51, 67, 80, 55, 1, 54, 47, 1, 29, 33, 2, 28, 23, 59, 20]","[7, 7]"
36038,12,3,"[2, 66, 70, 2, 4, 25, 1, 3, 31, 2, 3, 81]","[3, 4, 7]"
38493,30,0,"[19, 2, 11, 6, 5, 4, 4, 3, 14, 15, 12, 2, 5, 3, 5, 4, 6, 12, 5, 2, 8, 6, 7, 21, 9, 18, 12, 24, 36, 7]",[]
40809,1,0,[270],[]
37931,16,3,"[4, 28, 2, 40, 2, 20, 51, 6, 1, 1, 3, 6, 3, 3, 10, 3]","[5, 5, 7]"
35927,12,3,"[2, 55, 60, 2, 5, 63, 1, 3, 33, 2, 3, 65]","[4, 4, 4]"
35143,22,3,"[9, 14, 11, 2, 57, 3, 2, 1, 56, 3, 62, 5, 44, 1, 6, 1, 7, 3, 19, 3, 34, 2]","[5, 5, 6]"
32927,9,3,"[25, 7, 2, 39, 2, 39, 2, 21, 20]","[6, 5, 4]"
33747,12,3,"[2, 43, 70, 2, 7, 25, 1, 3, 35, 2, 3, 81]","[3, 4, 7]"
36454,17,3,"[2, 7, 1, 8, 63, 3, 44, 4, 47, 5, 67, 34, 6, 10, 11, 4, 5]","[4, 6, 4]"
34534,20,4,"[34, 10, 6, 5, 1, 40, 50, 61, 2, 34, 15, 5, 37, 4, 12, 4, 20, 18, 2, 10]","[6, 6, 7, 4]"
39269,29,5,"[1, 2, 14, 2, 5, 60, 3, 59, 4, 44, 4, 90, 4, 4, 30, 5, 9, 1, 5, 1, 1, 1, 2, 3, 2, 3, 25, 3, 1]","[4, 3, 7, 8, 5]"
39278,7,2,"[2, 55, 3, 10, 14, 5, 2]","[9, 3]"
33944,11,3,"[2, 38, 2, 5, 33, 1, 3, 22, 2, 3, 61]","[3, 3, 5]"
41207,1,0,[407],[]
35355,17,3,"[2, 2, 2, 3, 25, 68, 1, 60, 1, 28, 1, 13, 17, 28, 3, 23, 14]","[4, 3, 4]"
40425,11,3,"[2, 38, 2, 5, 33, 1, 3, 22, 2, 3, 61]","[3, 3, 5]"
39097,10,3,"[1, 40, 1, 40, 2, 31, 4, 20, 1, 22]","[4, 4, 5]"
39988,1,0,[254],[]
41040,1,0,[169],[]
33783,12,3,"[2, 37, 67, 2, 6, 18, 1, 3, 33, 2, 3, 78]","[3, 4, 6]"
35505,6,3,"[2, 66, 2, 62, 2, 66]","[4, 4, 5]"
37080,1,0,[265],[]
33496,1,0,[486],[]
39863,1,0,[320],[]
34143,19,0,"[57, 30, 43, 24, 24, 27, 13, 35, 38, 9, 10, 5, 20, 4, 3, 4, 5, 68, 27]",[]
38237,17,3,"[1, 39, 42, 27, 1, 85, 1, 53, 2, 6, 65, 10, 16, 25, 12, 12, 4]","[3, 3, 4]"
34814,11,3,"[1, 51, 1, 6, 51, 1, 3, 57, 2, 3, 53]","[4, 4, 4]"
38752,11,3,"[2, 51, 2, 6, 51, 1, 3, 57, 2, 3, 51]","[4, 4, 4]"
34026,12,4,"[54, 50, 8, 80, 2, 65, 2, 71, 2, 133, 17, 6]","[5, 4, 5, 7]"
39925,1,0,[187],[]
41825,14,2,"[20, 85, 9, 2, 64, 2, 43, 2, 24, 17, 44, 40, 11, 34]","[5, 5]"
40942,23,3,"[19, 40, 37, 17, 1, 76, 1, 75, 1, 105, 24, 26, 5, 11, 18, 15, 17, 9, 12, 24, 14, 19, 10]","[6, 6, 7]"
41674,9,3,"[2, 40, 14, 24, 3, 52, 14, 5, 6]","[5, 5, 5]"
41119,55,6,"[28, 14, 3, 9, 2, 11, 8, 2, 20, 2, 37, 3, 39, 10, 128, 1, 30, 8, 4, 2, 111, 16, 8, 4, 1, 1, 2, 1, 1, 2, 2, 1, 3, 13, 2, 7, 9, 4, 5, 2, 52, 1, 2, 7, 13, 4, 57, 1, 21, 2, 1, 86, 7, 5, 12]","[2, 2, 4, 5, 6, 2]"
33724,17,3,"[3, 5, 1, 2, 16, 48, 45, 30, 1, 79, 1, 55, 1, 67, 37, 13, 29]","[8, 3, 6]"
36320,6,3,"[2, 48, 2, 40, 2, 46]","[5, 5, 5]"
40566,1,0,[450],[]
36708,10,3,"[28, 18, 6, 4, 2, 14, 2, 42, 2, 66]","[4, 9, 8]"
36231,26,3,"[10, 4, 40, 4, 11, 7, 16, 10, 10, 10, 10, 6, 6, 8, 6, 54, 7, 33, 1, 7, 15, 51, 55, 11, 4, 27]","[3, 3, 6]"
33904,1,0,[566],[]
33177,26,1,"[36, 10, 9, 7, 8, 3, 11, 7, 9, 15, 4, 11, 18, 7, 10, 5, 4, 31, 16, 8, 12, 11, 11, 28, 77, 34]",[2]
42660,1,0,[250],[]
42319,18,3,"[49, 12, 6, 1, 2, 45, 2, 40, 2, 36, 6, 9, 4, 7, 5, 12, 4, 4]","[5, 5, 5]"
35963,18,3,"[1, 73, 12, 9, 6, 1, 3, 62, 1, 3, 55, 2, 4, 31, 3, 55, 16, 13]","[6, 5, 3]"
