id,token_cnt
34583,1284
16597,305
2923,337
29253,1060
11925,485
17247,1183
59561,406
32098,493
30021,576
34729,1641
46266,424
54076,515
54262,1234
54866,733
31035,709
35053,655
1573,389
6264,1273
24899,1739
4228,164
38563,386
38150,841
60407,543
2417,479
49608,1025
13062,739
50489,505
56463,1227
50564,264
39618,981
41507,1247
8896,216
1486,253
38004,1380
9642,511
22173,459
58803,208
1322,419
30421,1949
49474,1061
60786,432
49695,734
56072,675
26275,457
43980,1092
46824,517
44593,601
14311,1277
37875,723
6888,783
31004,903
23610,1451
30676,1183
5234,914
23001,877
44066,1520
10354,378
51064,361
11390,1820
557,817
42352,899
53646,790
36031,830
50152,1472
57100,820
55357,955
49052,236
28607,867
7506,624
39757,249
41725,570
22466,588
7864,1113
35337,641
40461,672
51042,398
52538,406
19326,1310
54,407
30610,1179
7529,1152
54816,735
45929,887
59256,1220
34519,293
9669,817
27825,531
48705,1224
7080,484
34455,1262
51766,471
48164,885
9863,422
52164,635
41639,1020
33885,236
48446,678
25042,999
44034,1294
7949,537
31053,448
31974,1172
41131,686
31594,445
49822,0
23264,504
21875,1042
18751,401
38848,1136
2209,151
48188,1857
6314,836
33204,118
47707,247
5659,263
17341,484
19311,786
19987,495
50106,589
32550,395
19429,1367
52043,603
52327,1015
49239,299
52127,410
23710,536
21804,151
46306,304
46951,486
13798,396
59583,793
43704,595
24020,483
59400,338
817,664
137,902
5104,1290
34004,1544
57956,459
47004,784
4678,749
40432,9
8127,484
34990,85
1120,428
4797,407
51237,475
33943,418
4216,538
60397,662
15551,644
48955,294
35280,188
53603,792
58411,795
26606,1942
23508,969
20681,742
59487,617
2523,117
61008,363
45603,434
12695,1373
3365,711
14835,569
40225,1255
9199,116
26792,1647
26679,950
46857,761
36304,608
36616,448
31521,982
16464,1271
5600,914
21331,813
59500,157
59637,713
25956,226
16000,403
43648,561
36017,549
4570,894
15548,890
11706,838
7916,1154
3995,471
20918,782
35086,197
48000,1274
59049,1139
42182,1944
12307,249
2653,257
57450,879
24121,374
31399,568
50173,202
23618,210
18345,687
19113,1002
16618,412
27111,375
20360,438
48386,173
3623,1243
14702,1359
35515,51
21716,481
55227,762
32297,1428
24932,620
15519,1505
47163,308
33230,422
55010,1356
43634,1117
49155,295
40213,1178
33656,834
44891,484
55749,399
54139,484
44090,459
60675,751
59606,371
21198,913
38334,269
42434,549
22918,406
5275,288
35602,579
17460,987
45509,410
19477,1217
36682,384
12011,1414
24858,970
38426,584
12298,81
24078,618
53814,794
27671,724
53206,396
2040,233
16874,956
44855,482
48217,1094
7784,940
8927,1234
6161,1007
14831,969
32526,713
24509,1102
56354,1728
12964,1075
12161,1322
48423,1169
38757,149
32622,454
51831,1131
11203,771
24312,1704
60739,1062
56532,797
28139,318
17959,346
57179,1136
47156,696
45876,378
13623,1116
7387,805
9419,771
22568,1992
48080,627
20674,201
55726,883
60058,1432
18015,458
42907,532
21091,1033
7655,1078
1155,319
49803,375
27931,960
18465,425
28559,477
8904,649
43620,874
49829,259
25943,308
23066,1076
57520,357
25038,766
28145,168
4081,820
59684,284
21936,465
43508,1408
53031,600
39495,790
38586,102
50483,736
32663,1437
47212,740
16255,1667
17106,813
39059,1034
11735,1151
5874,588
43535,1310
43485,404
55679,703
34742,1428
5463,270
29414,602
22985,1118
29002,1366
55722,826
12757,788
21541,986
56337,872
753,384
53209,342
14133,820
28695,501
59077,595
37015,542
27154,436
45767,641
21307,286
39630,495
94,471
10837,1270
12691,1160
4476,477
45456,673
49120,346
20189,351
58294,267
11875,810
19639,615
59863,859
12546,1349
50390,816
47680,248
53928,875
25247,686
38964,685
16387,1419
37432,325
19790,664
45741,791
41941,1298
56,641
16222,1766
53083,396
36889,316
30366,876
10024,1092
1081,490
15594,1130
50285,672
29456,349
11998,149
7345,535
20709,534
33064,631
43682,288
11812,626
47859,475
6466,342
21675,448
39988,1450
60069,448
42547,681
20706,1465
60448,290
37924,684
3511,696
31562,1813
45705,660
20606,1419
58015,417
30238,315
50253,1148
14662,871
48696,369
8935,1305
39182,452
26919,1913
22645,1133
58202,701
36655,2021
34952,699
59530,328
56722,517
59755,1528
17615,690
35532,316
55274,835
60099,801
23043,1263
13988,1359
1799,488
38479,1522
45134,854
41345,1100
54072,799
3268,382
12379,326
13444,901
16516,821
22921,973
5444,1278
34184,458
17046,1466
27384,788
17852,144
4658,693
17939,885
229,641
56529,1812
34350,1049
18154,410
17544,1133
48439,876
46798,975
1535,145
5365,1293
38492,1470
47073,502
32689,713
56176,1199
57453,883
6327,1904
13282,650
29257,458
59450,362
39926,1331
40059,851
20859,1026
14083,514
4894,1325
7362,506
13115,1276
47374,448
57926,699
60499,145
28626,462
35489,656
33106,269
43691,983
6273,1095
28332,753
38716,628
15058,504
56524,1060
41470,1499
3945,475
34333,766
15582,898
27714,280
37936,606
27572,953
26922,706
35923,575
2870,1036
44628,685
1257,530
5362,1682
97,405
19624,1388
48083,1040
52409,360
47251,617
52550,612
41346,263
55786,825
56330,1577
60497,421
56910,822
42455,756
36764,250
8097,918
54813,1875
32769,621
26615,1636
51321,1889
6110,2163
20476,272
23098,933
57401,414
18313,558
43892,1471
2364,632
48507,1067
26481,924
2746,279
27516,607
17366,785
54361,363
28226,798
47652,414
58495,531
55184,587
44184,374
53905,861
26629,1564
59013,792
28683,1458
46630,525
21282,664
35815,1928
13894,596
5186,1417
58527,1021
40728,637
46646,682
18538,1919
25406,1064
55876,636
60792,859
61049,725
16061,517
20106,279
20649,1142
52014,732
58122,497
50057,580
40332,338
28583,1133
22806,837
43131,900
21883,433
54483,1396
48575,478
38621,349
47184,782
11373,682
19192,763
10489,459
9316,1183
56187,458
43733,977
3758,57
44851,838
42010,468
21894,457
1091,462
45693,1064
59879,1216
60039,1462
59419,1970
17355,489
29233,102
50053,1268
32695,863
59456,232
29300,442
27538,227
37356,964
40447,491
35703,301
11827,949
4971,923
50398,309
16212,459
5027,389
44087,919
24337,736
5623,987
1014,462
37093,429
39262,636
33547,943
38305,740
24852,443
58638,764
7183,413
51303,451
16669,746
46558,242
24839,1780
49972,917
57887,363
21693,927
41249,317
20954,239
17061,1022
4054,864
24446,1450
49209,455
24951,651
22532,427
5228,1455
59085,823
1430,145
50469,569
7390,901
3565,509
16499,1604
45782,2095
56031,2274
24485,1334
16047,486
40109,679
28129,2389
16658,1288
45614,1088
38365,1035
10852,1731
14272,1559
61077,638
52675,340
40397,1393
6296,691
11826,824
53338,636
26119,870
43831,610
59857,655
15687,835
52390,360
39856,567
34800,829
11957,485
23737,401
55340,999
52697,226
16959,650
2524,444
50833,1329
25804,561
23512,527
