id,paragraph_cnt,list_cnt,paragraph_lens,list_lens
16263,23,0,"[1, 24, 25, 1, 33, 1, 16, 12, 25, 28, 26, 20, 1, 6, 3, 3, 8, 7, 3, 9, 11, 4, 8]",[]
16966,17,0,"[40, 6, 40, 17, 5, 4, 9, 15, 32, 30, 30, 44, 34, 6, 14, 31, 84]",[]
20222,22,0,"[2, 40, 1, 2, 30, 47, 1, 6, 5, 5, 5, 22, 3, 5, 3, 5, 12, 2, 6, 6, 15, 10]",[]
8777,14,0,"[45, 54, 57, 27, 46, 36, 4, 25, 30, 38, 24, 46, 13, 15]",[]
17806,11,2,"[51, 2, 24, 32, 8, 5, 3, 9, 6, 5, 62]","[5, 3]"
13573,13,3,"[52, 4, 3, 28, 9, 49, 4, 24, 7, 18, 18, 9, 46]","[3, 7, 3]"
9031,27,0,"[45, 8, 10, 14, 13, 12, 12, 11, 10, 12, 3, 11, 8, 8, 10, 7, 15, 27, 18, 16, 7, 40, 26, 9, 5, 5, 9]",[]
19322,1,0,[328],[]
17006,7,3,"[14, 14, 36, 6, 17, 3, 9]","[5, 3, 2]"
13609,11,2,"[15, 5, 6, 8, 2, 13, 12, 6, 11, 26, 27]","[2, 2]"
8905,30,0,"[12, 31, 7, 33, 2, 2, 4, 4, 2, 72, 54, 5, 29, 36, 64, 26, 13, 12, 8, 4, 2, 33, 31, 6, 14, 11, 9, 6, 10, 47]",[]
18882,17,0,"[30, 16, 68, 8, 10, 28, 12, 16, 9, 17, 21, 11, 12, 15, 45, 12, 7]",[]
13713,24,0,"[41, 6, 2, 11, 10, 6, 3, 7, 12, 8, 6, 20, 8, 2, 6, 11, 2, 6, 4, 3, 23, 7, 6, 59]",[]
16874,23,0,"[3, 37, 3, 24, 6, 18, 18, 16, 29, 27, 5, 40, 5, 3, 1, 9, 13, 9, 30, 32, 3, 8, 73]",[]
15942,1,0,[328],[]
9941,29,0,"[27, 5, 16, 7, 5, 3, 7, 5, 13, 7, 8, 22, 17, 7, 6, 7, 40, 21, 3, 7, 9, 8, 7, 5, 8, 5, 11, 3, 5]",[]
9040,18,0,"[28, 7, 10, 7, 6, 3, 7, 8, 7, 12, 14, 4, 6, 80, 24, 7, 7, 8]",[]
16796,2,0,"[1, 178]",[]
10888,11,2,"[27, 8, 6, 13, 3, 18, 5, 13, 12, 69, 24]","[4, 4]"
19153,14,0,"[43, 20, 38, 13, 2, 12, 15, 3, 27, 3, 6, 9, 10, 8]",[]
9565,7,0,"[38, 13, 8, 5, 6, 6, 53]",[]
15922,13,2,"[22, 1, 5, 37, 1, 2, 1, 3, 7, 10, 40, 3, 6]","[5, 2]"
15022,11,3,"[5, 41, 3, 64, 2, 78, 37, 2, 112, 42, 54]","[5, 5, 5]"
18973,1,0,[371],[]
9655,26,0,"[13, 5, 11, 28, 39, 15, 3, 19, 12, 12, 3, 10, 46, 15, 74, 23, 5, 5, 7, 5, 9, 3, 10, 19, 12, 12]",[]
16247,24,0,"[53, 85, 50, 11, 3, 10, 12, 6, 10, 13, 9, 12, 7, 15, 47, 4, 5, 8, 5, 8, 3, 6, 3, 5]",[]
16646,14,3,"[46, 10, 3, 5, 45, 5, 60, 3, 41, 3, 4, 4, 28, 47]","[4, 9, 8]"
14891,1,0,[36],[]
14800,13,0,"[21, 15, 3, 10, 10, 3, 5, 4, 5, 6, 5, 8, 3]",[]
11832,12,1,"[31, 34, 10, 14, 13, 11, 5, 20, 62, 23, 7, 50]",[5]
12351,6,0,"[46, 10, 4, 2, 9, 12]",[]
16407,12,2,"[1, 2, 12, 69, 12, 75, 7, 7, 1, 5, 1, 7]","[4, 6]"
12711,2,0,"[1, 66]",[]
11595,14,0,"[41, 37, 3, 12, 4, 8, 4, 2, 8, 7, 28, 9, 6, 11]",[]
20499,17,0,"[32, 3, 26, 4, 3, 3, 4, 3, 2, 9, 7, 4, 65, 30, 5, 5, 9]",[]
9901,15,0,"[13, 6, 34, 9, 5, 13, 4, 13, 16, 6, 9, 7, 6, 8, 3]",[]
