id,paragraph_cnt,list_cnt,paragraph_lens,list_lens
4165,44,3,"[2, 13, 2, 1, 1, 4, 74, 37, 3, 3, 4, 3, 124, 2, 27, 25, 1, 1, 50, 2, 21, 3, 4, 2, 2, 32, 3, 31, 1, 3, 24, 5, 20, 3, 32, 64, 34, 26, 63, 80, 68, 44, 41, 34]","[7, 2, 2]"
96,1,0,[142],[]
5813,1,0,[97],[]
7563,58,0,"[9, 45, 3, 4, 4, 4, 3, 15, 23, 15, 17, 10, 7, 10, 9, 9, 6, 8, 4, 2, 12, 4, 13, 4, 1, 1, 2, 2, 4, 13, 3, 2, 20, 2, 15, 1, 1, 1, 17, 2, 23, 2, 15, 3, 1, 19, 14, 48, 5, 5, 1, 3, 1, 1, 1, 2, 10, 35]",[]
5053,17,3,"[35, 44, 29, 23, 3, 17, 91, 3, 9, 71, 4, 13, 19, 6, 22, 187, 146]","[5, 6, 4]"
3446,58,0,"[9, 15, 3, 4, 3, 4, 3, 14, 26, 5, 5, 5, 7, 8, 9, 9, 5, 8, 4, 2, 12, 4, 13, 4, 1, 1, 2, 2, 4, 13, 3, 2, 20, 2, 15, 1, 1, 1, 17, 2, 23, 2, 15, 3, 1, 19, 13, 45, 5, 5, 1, 3, 1, 1, 1, 2, 10, 35]",[]
6702,13,0,"[28, 7, 2, 4, 10, 2, 4, 14, 5, 15, 3, 5, 11]",[]
6139,20,3,"[66, 127, 3, 70, 34, 27, 57, 62, 32, 35, 38, 1, 60, 38, 1, 112, 21, 5, 86, 53]","[8, 4, 5]"
2243,9,2,"[5, 35, 45, 34, 5, 2, 37, 8, 63]","[6, 11]"
8336,10,0,"[34, 24, 16, 5, 37, 27, 2, 25, 9, 6]",[]
6104,10,3,"[8, 31, 94, 5, 58, 4, 78, 3, 18, 147]","[4, 3, 9]"
2559,4,0,"[92, 15, 5, 5]",[]
4344,6,3,"[11, 42, 9, 39, 11, 16]","[7, 5, 3]"
7780,7,0,"[22, 42, 10, 11, 7, 6, 15]",[]
8285,4,0,"[72, 53, 6, 7]",[]
8657,14,0,"[33, 11, 1, 27, 2, 12, 3, 29, 4, 1, 9, 13, 4, 3]",[]
3280,7,0,"[10, 5, 9, 4, 5, 5, 7]",[]
7961,13,5,"[3, 10, 36, 3, 18, 7, 1, 83, 116, 2, 322, 3, 52]","[3, 2, 7, 8, 13]"
612,14,0,"[22, 4, 3, 10, 10, 3, 17, 3, 12, 8, 9, 11, 9, 10]",[]
7091,14,0,"[20, 21, 2, 13, 16, 13, 12, 15, 12, 8, 12, 10, 13, 12]",[]
6062,10,3,"[2, 23, 7, 46, 5, 98, 4, 41, 3, 92]","[10, 4, 6]"
3809,16,0,"[57, 60, 117, 6, 13, 8, 6, 5, 64, 57, 11, 34, 10, 16, 18, 55]",[]
3334,19,1,"[2, 16, 35, 12, 14, 25, 9, 7, 12, 12, 2, 9, 23, 26, 1, 61, 44, 92, 17]",[2]
8266,16,3,"[3, 17, 8, 7, 19, 59, 2, 52, 4, 52, 4, 93, 66, 51, 6, 11]","[3, 3, 7]"
7116,14,0,"[28, 24, 1, 17, 39, 3, 9, 7, 15, 4, 12, 7, 8, 4]",[]
1454,34,0,"[41, 28, 5, 4, 42, 2, 25, 30, 29, 46, 37, 19, 3, 2, 53, 24, 69, 6, 39, 50, 15, 2, 35, 4, 86, 93, 22, 5, 24, 8, 102, 65, 93, 4]",[]
1398,12,0,"[67, 7, 10, 2, 2, 4, 21, 20, 19, 9, 8, 2]",[]
7563,12,3,"[5, 4, 9, 22, 3, 36, 6, 9, 51, 9, 1, 16]","[3, 5, 6]"
1546,45,0,"[4, 28, 84, 8, 36, 45, 52, 25, 22, 3, 3, 17, 21, 14, 10, 11, 28, 14, 12, 10, 3, 29, 19, 4, 16, 18, 16, 16, 12, 22, 11, 19, 6, 13, 11, 27, 1, 29, 12, 19, 12, 14, 9, 8, 6]",[]
4048,24,2,"[2, 33, 2, 4, 6, 4, 4, 6, 4, 6, 3, 2, 77, 3, 42, 2, 3, 2, 14, 14, 9, 11, 13, 16]","[6, 2]"
1147,1,0,[39],[]
1316,6,2,"[2, 59, 3, 135, 3, 145]","[8, 5]"
783,10,3,"[25, 24, 1, 14, 1, 18, 1, 23, 1, 3]","[3, 4, 5]"
2437,10,0,"[9, 105, 4, 4, 6, 5, 2, 3, 2, 2]",[]
6653,14,1,"[13, 15, 2, 25, 15, 1, 5, 8, 3, 13, 3, 9, 8, 10]",[5]
2450,11,2,"[157, 1, 86, 1, 31, 24, 2, 24, 70, 44, 28]","[5, 5]"
7667,60,0,"[9, 28, 3, 4, 3, 4, 3, 12, 27, 5, 7, 3, 5, 5, 5, 13, 11, 9, 5, 8, 4, 2, 10, 4, 13, 4, 1, 1, 2, 2, 4, 13, 3, 2, 20, 2, 15, 1, 1, 1, 17, 2, 23, 2, 15, 3, 1, 19, 11, 51, 5, 5, 1, 3, 1, 1, 1, 2, 10, 35]",[]
374,8,0,"[19, 9, 50, 20, 7, 25, 9, 10]",[]
3994,10,0,"[19, 52, 3, 6, 21, 15, 13, 10, 61, 31]",[]
8279,16,0,"[2, 41, 5, 14, 4, 4, 16, 3, 2, 2, 19, 4, 3, 17, 6, 24]",[]
4048,6,3,"[36, 108, 13, 58, 16, 73]","[7, 6, 7]"
6263,22,0,"[22, 26, 34, 10, 3, 1, 13, 20, 41, 1, 15, 15, 10, 1, 9, 15, 5, 1, 10, 8, 21, 5]",[]
6280,16,0,"[50, 2, 7, 10, 8, 14, 10, 2, 16, 15, 8, 8, 3, 49, 6, 7]",[]
4149,4,0,"[53, 18, 5, 5]",[]
2464,9,3,"[1, 44, 2, 104, 2, 45, 45, 93, 17]","[4, 5, 6]"
7052,7,4,"[64, 34, 5, 93, 1, 4, 22]","[3, 5, 8, 4]"
2610,9,0,"[10, 4, 8, 9, 2, 6, 6, 3, 22]",[]
1042,7,0,"[18, 15, 7, 10, 9, 16, 7]",[]
911,9,0,"[34, 2, 6, 7, 22, 2, 28, 20, 6]",[]
3536,9,2,"[5, 82, 93, 2, 111, 2, 81, 3, 43]","[6, 6]"
4635,9,2,"[40, 28, 4, 4, 35, 1, 8, 45, 4]","[5, 5]"
8608,19,0,"[6, 16, 1, 28, 2, 5, 4, 4, 6, 2, 3, 36, 8, 4, 5, 3, 13, 17, 9]",[]
6711,57,0,"[9, 22, 3, 4, 4, 4, 3, 15, 33, 17, 9, 7, 15, 9, 9, 5, 8, 4, 2, 16, 4, 13, 4, 1, 1, 2, 2, 4, 13, 3, 2, 20, 2, 15, 1, 1, 1, 17, 2, 23, 2, 15, 3, 1, 19, 18, 50, 5, 5, 1, 3, 1, 1, 1, 2, 10, 35]",[]
5324,1,0,[93],[]
1847,13,0,"[104, 1, 7, 1, 6, 6, 11, 6, 1, 3, 3, 4, 5]",[]
930,8,0,"[17, 9, 23, 9, 10, 27, 32, 29]",[]
4273,16,0,"[50, 20, 6, 12, 10, 59, 13, 1, 21, 20, 16, 3, 4, 6, 15, 33]",[]
4979,8,0,"[101, 46, 113, 3, 2, 4, 10, 93]",[]
3375,20,2,"[4, 34, 65, 24, 20, 3, 32, 34, 47, 1, 3, 36, 4, 16, 2, 19, 50, 50, 4, 32]","[5, 3]"
2225,38,0,"[6, 3, 16, 6, 19, 44, 29, 36, 5, 9, 8, 11, 20, 2, 19, 16, 15, 16, 18, 1, 8, 1, 5, 2, 15, 8, 9, 16, 13, 10, 7, 9, 15, 5, 8, 7, 10, 3]",[]
6517,11,3,"[3, 4, 8, 36, 4, 44, 2, 38, 1, 4, 43]","[4, 4, 4]"
7889,16,3,"[53, 50, 64, 39, 6, 134, 7, 90, 8, 64, 3, 7, 23, 55, 135, 72]","[7, 7, 7]"
544,17,1,"[35, 10, 7, 2, 15, 6, 14, 15, 2, 18, 49, 20, 10, 2, 25, 11, 16]",[4]
3566,23,0,"[4, 35, 2, 20, 14, 13, 19, 11, 15, 3, 7, 3, 3, 4, 12, 6, 16, 25, 3, 4, 4, 4, 7]",[]
8419,18,3,"[46, 29, 31, 36, 36, 107, 4, 31, 21, 5, 90, 21, 16, 36, 53, 39, 51, 5]","[7, 2, 3]"
7315,17,2,"[8, 15, 19, 48, 30, 32, 17, 31, 4, 17, 21, 20, 19, 3, 5, 47, 5]","[5, 6]"
2033,1,0,[42],[]
343,1,0,[154],[]
5286,10,3,"[28, 23, 23, 5, 43, 11, 138, 8, 28, 11]","[4, 4, 5]"
6598,34,0,"[41, 28, 5, 4, 42, 2, 25, 30, 29, 46, 37, 19, 3, 2, 53, 24, 69, 6, 39, 50, 15, 2, 35, 4, 86, 93, 22, 5, 24, 8, 102, 65, 93, 4]",[]
1228,19,0,"[28, 5, 19, 16, 6, 20, 12, 2, 13, 5, 5, 4, 2, 3, 10, 10, 7, 3, 9]",[]
3788,17,0,"[27, 69, 57, 8, 11, 8, 88, 14, 10, 51, 16, 8, 2, 19, 23, 10, 7]",[]
3918,13,0,"[7, 22, 3, 8, 12, 16, 4, 9, 12, 11, 4, 14, 29]",[]
4655,15,0,"[28, 35, 45, 22, 5, 6, 18, 17, 15, 1, 5, 6, 18, 3, 11]",[]
6037,21,0,"[6, 20, 53, 69, 5, 14, 4, 6, 5, 8, 3, 34, 4, 22, 19, 24, 20, 15, 20, 20, 4]",[]
584,8,0,"[11, 13, 1, 10, 5, 22, 23, 11]",[]
208,1,0,[129],[]
