id,paragraph_cnt,list_cnt,paragraph_lens,list_lens
31699,19,0,"[4, 26, 20, 33, 35, 39, 7, 53, 6, 5, 3, 4, 10, 16, 8, 16, 32, 5, 44]",[]
29039,21,0,"[4, 25, 15, 15, 16, 24, 10, 20, 7, 7, 3, 7, 15, 3, 4, 28, 23, 5, 5, 45, 72]",[]
30780,9,0,"[4, 13, 6, 55, 4, 7, 14, 5, 53]",[]
30752,19,2,"[4, 3, 16, 35, 19, 26, 46, 14, 3, 6, 234, 1, 4, 50, 2, 8, 22, 21, 19]","[12, 4]"
25670,7,0,"[37, 25, 72, 22, 22, 20, 50]",[]
30292,23,0,"[3, 14, 7, 13, 15, 12, 13, 7, 18, 16, 10, 6, 15, 3, 15, 14, 12, 8, 17, 15, 18, 6, 12]",[]
23367,23,0,"[34, 14, 3, 18, 3, 16, 11, 11, 8, 10, 9, 17, 4, 6, 40, 16, 5, 9, 9, 2, 14, 15, 22]",[]
32124,30,0,"[4, 40, 3, 26, 37, 24, 29, 10, 13, 8, 23, 13, 15, 7, 22, 4, 41, 3, 14, 30, 5, 41, 22, 5, 14, 8, 27, 14, 8, 8]",[]
27913,15,0,"[4, 37, 8, 16, 23, 37, 4, 24, 14, 11, 17, 3, 18, 5, 117]",[]
23324,12,0,"[2, 3, 26, 4, 22, 17, 12, 2, 4, 7, 6, 10]",[]
30817,19,0,"[4, 19, 4, 8, 8, 6, 7, 4, 4, 9, 13, 12, 14, 15, 49, 5, 42, 67, 73]",[]
25474,13,3,"[5, 79, 3, 6, 68, 11, 18, 2, 110, 2, 59, 4, 2]","[5, 7, 9]"
22564,30,0,"[4, 21, 46, 4, 21, 9, 9, 9, 7, 7, 8, 5, 7, 9, 12, 10, 4, 3, 35, 7, 5, 5, 1, 13, 2, 10, 9, 5, 45, 78]",[]
20878,46,1,"[5, 34, 25, 26, 8, 49, 53, 32, 3, 42, 5, 13, 16, 13, 22, 15, 4, 36, 13, 6, 6, 11, 8, 5, 27, 36, 39, 2, 3, 47, 22, 19, 34, 44, 13, 2, 82, 4, 9, 10, 34, 19, 35, 26, 4, 28]",[9]
26745,20,0,"[37, 17, 6, 9, 12, 2, 12, 3, 4, 13, 16, 32, 20, 9, 6, 7, 7, 14, 15, 22]",[]
23808,36,0,"[1, 1, 5, 1, 4, 4, 22, 8, 12, 5, 4, 7, 3, 5, 4, 5, 5, 8, 2, 11, 15, 11, 3, 4, 14, 12, 9, 11, 1, 6, 38, 5, 6, 16, 13, 18]",[]
21355,18,0,"[1, 40, 41, 25, 22, 32, 3, 26, 35, 35, 37, 26, 19, 2, 36, 35, 36, 16]",[]
24081,37,0,"[12, 17, 17, 25, 23, 24, 22, 20, 7, 26, 6, 26, 19, 4, 3, 23, 19, 36, 9, 18, 5, 14, 15, 22, 3, 5, 4, 2, 2, 3, 3, 1, 8, 2, 1, 4, 14]",[]
23163,10,0,"[2, 3, 25, 2, 4, 5, 2, 18, 3, 16]",[]
26693,12,0,"[31, 3, 15, 6, 7, 5, 3, 12, 3, 12, 16, 8]",[]
26870,12,0,"[41, 22, 11, 24, 20, 5, 15, 27, 13, 14, 15, 22]",[]
21055,14,0,"[1, 7, 6, 5, 49, 5, 7, 12, 10, 8, 6, 50, 10, 21]",[]
29399,49,0,"[14, 4, 3, 8, 19, 3, 9, 9, 15, 10, 16, 7, 15, 8, 11, 12, 5, 12, 6, 8, 9, 10, 3, 10, 25, 7, 30, 4, 7, 7, 8, 3, 11, 5, 19, 19, 9, 2, 12, 16, 12, 15, 32, 49, 21, 2, 14, 15, 22]",[]
25640,16,0,"[1, 4, 5, 7, 64, 5, 9, 20, 14, 12, 18, 6, 31, 19, 23, 20]",[]
24283,22,2,"[4, 11, 42, 2, 24, 25, 32, 2, 23, 49, 17, 4, 2, 23, 22, 8, 71, 26, 5, 25, 27, 30]","[4, 3]"
31485,43,0,"[4, 16, 4, 7, 5, 3, 8, 8, 7, 2, 15, 7, 6, 2, 21, 19, 6, 53, 5, 14, 4, 16, 4, 7, 5, 3, 8, 8, 7, 2, 15, 7, 6, 2, 21, 19, 6, 53, 5, 14, 5, 36, 43]",[]
26152,51,1,"[3, 301, 93, 2, 5, 3, 5, 25, 5, 3, 5, 20, 5, 3, 5, 28, 5, 3, 5, 18, 5, 3, 5, 23, 5, 3, 5, 27, 7, 1, 10, 2, 4, 3, 4, 2, 10, 10, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 24, 22, 26]",[3]
32653,34,0,"[53, 18, 2, 1, 11, 14, 19, 16, 20, 13, 10, 18, 1, 13, 6, 3, 30, 10, 1, 12, 6, 6, 3, 9, 46, 8, 33, 11, 32, 2, 27, 27, 17, 22]",[]
22768,10,2,"[3, 11, 9, 41, 15, 3, 5, 57, 16, 12]","[3, 6]"
21805,16,1,"[30, 51, 37, 4, 1, 3, 1, 7, 5, 56, 14, 22, 10, 7, 6, 28]",[5]
31583,16,0,"[4, 27, 9, 8, 10, 25, 5, 21, 3, 4, 25, 20, 1, 5, 24, 17]",[]
20886,16,1,"[5, 39, 5, 5, 2, 5, 10, 7, 2, 49, 4, 9, 28, 18, 21, 23]",[9]
21051,16,0,"[1, 4, 6, 11, 63, 5, 13, 6, 9, 9, 11, 6, 36, 10, 16, 21]",[]
26269,20,2,"[5, 21, 25, 9, 15, 14, 25, 9, 13, 2, 15, 9, 10, 2, 77, 8, 4, 4, 22, 5]","[9, 5]"
22585,14,1,"[4, 60, 117, 33, 3, 14, 90, 1, 105, 31, 12, 20, 2, 4]",[3]
28545,3,1,"[29, 33, 18]",[5]
31468,7,0,"[4, 154, 4, 10, 11, 5, 66]",[]
26148,21,0,"[3, 20, 3, 22, 20, 3, 9, 16, 8, 17, 6, 10, 18, 15, 3, 18, 25, 10, 18, 14, 12]",[]
27329,16,0,"[4, 33, 11, 15, 12, 10, 14, 10, 4, 31, 17, 15, 5, 23, 57, 35]",[]
27049,20,1,"[4, 7, 36, 6, 41, 17, 33, 4, 2, 28, 24, 5, 139, 3, 55, 26, 5, 29, 27, 30]",[7]
32316,10,0,"[10, 3, 3, 22, 16, 11, 1, 4, 20, 22]",[]
29962,10,0,"[4, 21, 3, 5, 4, 1, 8, 5, 24, 21]",[]
26470,24,0,"[4, 25, 4, 8, 6, 13, 6, 5, 10, 4, 4, 25, 4, 8, 6, 13, 6, 5, 10, 4, 5, 30, 29, 34]",[]
22756,28,0,"[4, 16, 8, 10, 2, 6, 5, 7, 15, 12, 32, 4, 29, 5, 3, 4, 4, 6, 10, 6, 20, 16, 32, 34, 14, 5, 57, 40]",[]
22157,19,0,"[3, 39, 3, 24, 6, 15, 31, 15, 3, 11, 13, 11, 5, 11, 3, 36, 24, 27, 8]",[]
26551,19,1,"[4, 8, 31, 6, 65, 19, 13, 4, 2, 39, 22, 14, 143, 35, 26, 5, 25, 27, 30]",[3]
25603,53,1,"[3, 97, 64, 2, 5, 3, 5, 24, 5, 3, 5, 19, 5, 3, 5, 23, 5, 3, 5, 15, 5, 3, 5, 22, 5, 3, 4, 20, 7, 1, 8, 4, 4, 3, 3, 4, 1, 8, 10, 10, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 24, 22, 26]",[3]
31685,32,3,"[22, 57, 4, 24, 25, 31, 4, 2, 20, 20, 14, 19, 15, 19, 13, 23, 8, 7, 10, 18, 29, 9, 3, 11, 3, 108, 12, 15, 3, 3, 6, 66]","[7, 4, 4]"
25559,13,2,"[5, 44, 11, 5, 47, 18, 40, 27, 2, 2, 47, 4, 3]","[5, 9]"
24373,19,0,"[4, 19, 4, 16, 9, 5, 6, 9, 17, 4, 3, 6, 7, 4, 11, 17, 7, 5, 47]",[]
22463,18,0,"[59, 2, 12, 13, 13, 3, 13, 8, 19, 22, 21, 15, 5, 36, 17, 14, 15, 22]",[]
29817,4,0,"[38, 111, 128, 2]",[]
32452,17,0,"[2, 8, 2, 31, 25, 45, 33, 48, 30, 3, 3, 48, 34, 40, 39, 18, 17]",[]
24694,55,1,"[3, 151, 38, 2, 5, 3, 5, 22, 5, 4, 5, 25, 5, 3, 5, 23, 5, 3, 5, 23, 5, 3, 5, 25, 5, 3, 5, 18, 7, 1, 4, 3, 4, 1, 2, 3, 2, 6, 1, 8, 10, 10, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 24, 22, 26]",[3]
25873,6,0,"[12, 6, 14, 7, 13, 10]",[]
23589,15,0,"[35, 44, 24, 33, 21, 66, 4, 9, 19, 23, 37, 14, 14, 15, 22]",[]
22147,28,0,"[3, 42, 40, 3, 30, 37, 7, 48, 16, 23, 20, 16, 17, 46, 9, 30, 3, 24, 13, 18, 8, 3, 51, 27, 18, 15, 24, 12]",[]
23398,16,0,"[24, 3, 21, 15, 11, 3, 14, 5, 5, 5, 7, 20, 29, 14, 15, 22]",[]
26765,12,0,"[34, 13, 24, 17, 4, 12, 5, 25, 9, 14, 15, 22]",[]
30215,57,0,"[4, 15, 6, 22, 2, 3, 3, 5, 6, 6, 6, 5, 4, 17, 5, 14, 5, 4, 4, 13, 9, 28, 3, 9, 13, 4, 6, 11, 16, 4, 15, 6, 13, 2, 3, 4, 7, 5, 4, 14, 13, 9, 28, 7, 13, 3, 9, 4, 7, 4, 6, 11, 19, 5, 11, 42, 12]",[]
27147,26,0,"[4, 20, 3, 10, 20, 15, 12, 16, 12, 9, 2, 6, 2, 7, 9, 1, 4, 13, 12, 11, 14, 6, 5, 23, 11, 12]",[]
30662,21,0,"[4, 29, 36, 9, 4, 6, 19, 23, 9, 20, 15, 4, 29, 23, 22, 20, 5, 15, 21, 28, 13]",[]
23376,19,1,"[41, 5, 48, 12, 19, 16, 4, 21, 11, 12, 14, 23, 13, 12, 4, 41, 14, 15, 22]",[5]
29070,4,0,"[101, 91, 124, 4]",[]
28015,33,0,"[4, 26, 20, 8, 6, 27, 9, 4, 6, 4, 6, 9, 4, 8, 10, 15, 4, 15, 17, 21, 13, 8, 8, 3, 4, 14, 12, 9, 11, 7, 18, 5, 33]",[]
25017,25,2,"[4, 25, 30, 6, 35, 33, 3, 2, 17, 63, 2, 22, 13, 34, 21, 1, 19, 50, 26, 13, 24, 13, 12, 2, 9]","[7, 4]"
25201,22,0,"[20, 52, 20, 14, 7, 4, 5, 3, 3, 3, 3, 5, 5, 8, 3, 6, 7, 3, 17, 28, 4, 5]",[]
25147,23,1,"[4, 7, 27, 63, 28, 3, 16, 37, 9, 159, 23, 28, 28, 1, 6, 31, 51, 13, 2, 21, 13, 7, 9]",[7]
29549,12,0,"[4, 23, 18, 21, 36, 25, 4, 53, 5, 30, 25, 21]",[]
31683,17,0,"[52, 17, 6, 39, 6, 16, 12, 5, 19, 17, 53, 21, 10, 28, 5, 47, 29]",[]
31716,36,2,"[18, 27, 29, 36, 34, 3, 30, 9, 30, 2, 22, 9, 47, 11, 11, 5, 5, 1, 2, 1, 1, 1, 1, 1, 1, 3, 3, 1, 5, 1, 3, 11, 1, 3, 21, 45]","[4, 5]"
28982,17,0,"[4, 26, 47, 12, 13, 18, 13, 24, 37, 4, 27, 8, 22, 24, 5, 45, 72]",[]
32638,24,2,"[6, 6, 7, 12, 12, 5, 6, 4, 4, 5, 3, 3, 10, 5, 66, 47, 63, 7, 28, 8, 126, 5, 114, 2]","[6, 6]"
26664,26,0,"[3, 67, 74, 104, 41, 45, 4, 30, 13, 5, 18, 25, 4, 10, 5, 9, 10, 7, 6, 5, 11, 18, 3, 32, 28, 9]",[]
30188,43,0,"[4, 16, 6, 30, 2, 3, 3, 5, 6, 6, 6, 5, 4, 17, 5, 14, 5, 4, 4, 13, 9, 28, 69, 29, 4, 7, 4, 5, 10, 14, 7, 28, 14, 39, 13, 9, 30, 4, 7, 5, 11, 42, 12]",[]
23036,38,0,"[1, 1, 5, 1, 4, 4, 15, 91, 13, 21, 14, 11, 17, 21, 19, 9, 7, 2, 10, 10, 6, 16, 15, 6, 3, 7, 14, 12, 9, 11, 1, 8, 38, 5, 6, 19, 19, 21]",[]
26401,17,2,"[5, 37, 25, 67, 2, 38, 11, 12, 2, 70, 1, 1, 3, 2, 2, 4, 3]","[6, 9]"
29567,20,0,"[4, 39, 14, 25, 30, 13, 22, 28, 4, 65, 6, 6, 5, 100, 6, 19, 13, 19, 15, 71]",[]
21736,31,7,"[2, 78, 12, 28, 30, 22, 41, 59, 44, 40, 3, 12, 38, 50, 3, 15, 56, 9, 1, 64, 1, 30, 1, 17, 3, 7, 92, 11, 4, 64, 14]","[3, 2, 4, 2, 2, 8, 8]"
27446,53,1,"[3, 123, 86, 2, 5, 5, 5, 24, 5, 4, 5, 23, 5, 3, 5, 26, 5, 3, 5, 20, 5, 3, 5, 24, 5, 3, 5, 24, 7, 1, 6, 4, 4, 3, 2, 4, 1, 7, 10, 10, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 24, 22, 26]",[3]
32420,20,0,"[3, 9, 30, 7, 15, 17, 12, 13, 13, 10, 5, 6, 9, 12, 12, 20, 6, 9, 20, 5]",[]
28232,28,0,"[4, 15, 18, 9, 3, 14, 8, 8, 6, 8, 4, 3, 21, 15, 8, 8, 4, 4, 3, 3, 9, 5, 5, 27, 66, 8, 5, 54]",[]
29032,37,0,"[4, 19, 23, 24, 3, 14, 61, 4, 10, 5, 10, 33, 34, 8, 20, 16, 13, 21, 4, 14, 15, 19, 24, 4, 2, 26, 23, 24, 4, 10, 5, 14, 8, 10, 8, 5, 52]",[]
23405,22,0,"[22, 10, 3, 4, 16, 10, 17, 3, 48, 19, 16, 5, 27, 20, 20, 8, 9, 10, 9, 14, 15, 22]",[]
30107,4,0,"[50, 69, 37, 2]",[]
24490,30,0,"[4, 2, 9, 8, 10, 12, 9, 2, 8, 11, 5, 5, 10, 4, 3, 3, 4, 4, 1, 8, 1, 3, 4, 4, 13, 3, 5, 3, 5, 53]",[]
23779,27,0,"[4, 6, 6, 6, 9, 8, 8, 10, 7, 6, 10, 9, 4, 4, 6, 12, 13, 14, 18, 9, 7, 7, 7, 9, 5, 3, 85]",[]
23315,4,0,"[34, 5, 9, 13]",[]
24085,39,0,"[1, 1, 5, 1, 4, 4, 13, 17, 13, 15, 11, 4, 14, 11, 22, 4, 10, 24, 6, 12, 11, 5, 2, 15, 15, 3, 7, 14, 12, 9, 11, 1, 10, 38, 5, 6, 12, 21, 20]",[]
23987,24,0,"[48, 12, 13, 13, 4, 10, 15, 13, 3, 14, 4, 5, 19, 5, 29, 34, 32, 55, 53, 9, 6, 14, 15, 22]",[]
26491,19,1,"[4, 9, 22, 7, 62, 29, 4, 11, 54, 22, 13, 139, 27, 26, 5, 29, 27, 30, 19]",[3]
22468,24,0,"[16, 3, 8, 5, 13, 3, 13, 20, 12, 16, 6, 3, 14, 10, 6, 3, 19, 8, 22, 5, 24, 14, 15, 22]",[]
24592,15,0,"[4, 16, 18, 8, 6, 2, 2, 4, 19, 4, 6, 14, 5, 17, 14]",[]
26419,11,0,"[4, 25, 3, 25, 4, 14, 4, 3, 5, 45, 71]",[]
31709,27,5,"[5, 38, 28, 9, 140, 35, 2, 45, 6, 34, 30, 16, 2, 55, 4, 34, 11, 22, 4, 13, 22, 27, 4, 73, 28, 9, 9]","[4, 5, 9, 7, 6]"
31731,18,0,"[4, 16, 6, 21, 6, 11, 4, 11, 4, 13, 11, 5, 17, 14, 16, 5, 20, 13]",[]
24073,18,1,"[3, 19, 16, 3, 124, 2, 9, 6, 13, 12, 7, 3, 5, 3, 7, 14, 15, 22]",[10]
28237,27,1,"[5, 15, 20, 7, 4, 2, 5, 7, 2, 8, 3, 6, 4, 7, 2, 56, 4, 11, 32, 27, 62, 63, 38, 24, 2, 72, 32]",[9]
23052,18,0,"[8, 3, 19, 3, 11, 26, 9, 8, 2, 3, 10, 13, 8, 5, 12, 30, 16, 8]",[]
22780,14,0,"[1, 6, 6, 15, 51, 5, 14, 12, 13, 13, 6, 52, 13, 21]",[]
32751,10,2,"[5, 49, 2, 32, 2, 8, 2, 5, 8, 3]","[7, 4]"
32391,20,0,"[2, 12, 6, 6, 16, 10, 5, 7, 6, 19, 10, 6, 29, 19, 13, 2, 15, 8, 4, 6]",[]
31230,39,0,"[1, 40, 41, 25, 22, 38, 3, 14, 18, 14, 10, 7, 8, 19, 17, 10, 5, 7, 7, 22, 9, 8, 8, 4, 6, 9, 10, 13, 22, 20, 7, 4, 8, 18, 2, 44, 43, 23, 4]",[]
25878,11,0,"[2, 3, 28, 3, 34, 6, 11, 6, 2, 13, 33]",[]
32322,11,2,"[2, 24, 64, 3, 100, 2, 29, 3, 38, 10, 13]","[5, 5]"
31405,31,6,"[4, 47, 44, 32, 45, 3, 2, 37, 69, 95, 19, 47, 5, 57, 21, 10, 44, 4, 20, 35, 19, 39, 14, 1, 23, 19, 15, 14, 39, 2, 141]","[4, 2, 4, 4, 3, 4]"
30335,26,0,"[6, 40, 39, 22, 6, 5, 3, 16, 8, 3, 5, 11, 9, 23, 18, 3, 5, 11, 7, 14, 6, 17, 39, 31, 25, 16]",[]
23517,19,0,"[34, 13, 3, 9, 7, 3, 8, 16, 8, 8, 11, 5, 5, 40, 16, 9, 14, 15, 22]",[]
24110,22,0,"[12, 4, 9, 10, 5, 6, 5, 6, 3, 3, 2, 4, 5, 9, 2, 4, 2, 6, 2, 14, 15, 22]",[]
31505,24,3,"[5, 6, 34, 2, 7, 15, 2, 55, 4, 5, 30, 38, 29, 3, 3, 4, 4, 4, 3, 3, 3, 16, 21, 16]","[8, 2, 9]"
28772,18,1,"[5, 30, 29, 19, 33, 24, 2, 34, 29, 16, 17, 2, 63, 6, 4, 3, 43, 51]",[9]
30303,20,0,"[1, 40, 41, 25, 22, 29, 3, 31, 35, 10, 50, 17, 32, 26, 2, 43, 33, 29, 36, 16]",[]
26487,19,1,"[4, 16, 44, 5, 40, 14, 4, 2, 23, 29, 3, 42, 9, 39, 26, 5, 29, 27, 30]",[2]
23966,29,1,"[22, 18, 7, 16, 4, 2, 6, 4, 4, 13, 6, 13, 6, 2, 8, 12, 7, 9, 10, 2, 32, 8, 17, 83, 47, 14, 14, 15, 22]",[6]
21617,22,0,"[1, 40, 41, 25, 22, 32, 3, 34, 42, 22, 36, 29, 30, 29, 2, 24, 7, 13, 17, 14, 36, 16]",[]
24080,41,0,"[11, 21, 34, 7, 11, 8, 15, 15, 11, 6, 10, 5, 14, 16, 15, 8, 22, 22, 23, 14, 7, 12, 9, 2, 9, 14, 15, 22, 2, 5, 4, 2, 2, 3, 3, 1, 8, 2, 1, 4, 14]",[]
26119,9,0,"[35, 15, 15, 11, 14, 13, 8, 13, 9]",[]
32008,8,0,"[4, 60, 4, 50, 5, 20, 37, 31]",[]
25067,23,2,"[4, 5, 31, 43, 31, 21, 3, 33, 29, 23, 2, 24, 6, 94, 1, 2, 65, 2, 8, 20, 71, 5, 24]","[10, 8]"
29584,21,5,"[5, 40, 31, 3, 51, 2, 53, 25, 2, 49, 7, 64, 4, 3, 15, 39, 22, 45, 19, 30, 5]","[4, 5, 9, 4, 4]"
25130,23,2,"[4, 5, 70, 66, 3, 3, 36, 19, 17, 29, 32, 5, 43, 7, 3, 13, 14, 16, 1, 7, 55, 2, 58]","[6, 4]"
